premise,conclusion,weight
" The DRC reformed its family code in July 2016, giving married women the right to take on work, open bank accounts, and register a business without needing their husband’s permission.", " There have been many improvements recently, and many countries which previously did not allow women to work without their husbands permission have progressively granted rights to women.", 1.0
" In Sri Lanka, women are not allowed to work after 10 p.m. in the retail sector.", " In many countries, women are not granted the right to work at night.", 1.0
" Local industries whose products develop in the absence of foreign competition decline in quality, while becoming more expensive than higher quality foreign alternatives.", " Protectionist policies reduce foreign competition within a country, which leads to local industries having no incentives for innovation. This harms local industries in the long run.", 1.0
" Women are prevented from working the same night hours as men in India, which prohibits them from working in factories between 7 p.m. and 6 a.m.", " In many countries, women are not granted the right to work at night.", 1.0
" A very low percentage of PRODECOOPs fair trade premium is invested, on average, in projects and programmes focusing exclusively on women’s needs (p. 11).", " In Nicaragua, the Fair trade certified PRODECOOP coffee cooperative invests in driving gender equality by dedicating an amount of fair trade premium towards implementing their gender equality programs.", -1.0
" A study in 2014 found that free trade in the United States lifted the purchasing power of the poorest Americans by around 62%.", " Free and fair trade, even if not perfect, can be considered as the most ethical form of trade as it improves the lives of the most vulnerable the fastest.", 1.0
" Critics have argued that there is little evidence to suggest that fair trade has assisted anyone out of poverty.", " Free and fair trade, even if not perfect, can be considered as the most ethical form of trade as it improves the lives of the most vulnerable the fastest.", -1.0
" A study on the introduction of drum-seeding technology on Bangladeshi farms showed that the machines ended up causing the firing of several workers of the farm. (p. 77)", " Mechanisation displaces labour on farms, and creates poverty for farm workers.", 1.0
" There have been many improvements recently, and many countries which previously did not allow women to work without their husbands permission have progressively granted rights to women.", " There are 18 countries in the world where women need the permission of their husbands to work.", -1.0
" The effect of increased job opportunities under protectionist policies is typically temporary, and reduces employment in poor countries over the long term when other countries retaliate by imposing their own protectionist trade barriers.", " Protected by tariffs and quotas, domestic industries are able to hire locally which means that the global poor benefit from increased employment opportunities.", -1.0
" Mechanisation has been shown to increase farm income.", " There are several benefits to mechanisation for small farmers.", 1.0
" As a result of the Growing Women in Coffee initiative women in Kenya were able to earn their own independent income from coffee, for the first time after years of contributing up to 70% of the labour needed to grow and harvest the beans (p. 9).", " In Kenya, the Growing Women in Coffee initiative incentivised smallholder male coffee farmers to empower women by transferring at least 50 coffee bushes to their daughters and wives, thereby allowing for asset ownership, without land (p. 9).", 1.0
" Mechanisation has the potential to increase efficiency and individual productivity.", " There are several benefits to mechanisation for small farmers.", 1.0
" In Haiti, the average remittance is around $1000 a year, which is less than the amount that workers would make for the country if they did not emigrate.", " Remittances do not counteract the opportunity cost of emigration.", 1.0
" Wasted food disposed in landfills becomes a significant source of methane, a potent greenhouse gas with 21 times the global warming potential of carbon dioxide.", " Food losses and waste amount to roughly US $990 billion around the globe. If consumers focus on eliminating or redistributing this waste, then it is likely that the pollution created by food waste can be reduced.", 1.0
" There are several benefits to mechanisation for small farmers.", " Mechanisation and industrialisation could mean fewer farmers are required to do back breaking work and could give people an opportunity to break out of the poverty cycle.", 1.0
" Protected by tariffs and quotas, domestic industries are able to hire locally which means that the global poor benefit from increased employment opportunities.", " Protectionist policies are often regressive and hence harm the global poor.", -1.0
" Mechanisation displaces labour on farms, and creates poverty for farm workers.", " Mechanisation and industrialisation could mean fewer farmers are required to do back breaking work and could give people an opportunity to break out of the poverty cycle.", -1.0
" Fair trade standards contain measures specifically designed to prohibit behaviour from the organisation and workers that is sexually intimidating, abusive or exploitative towards women.", " Fair trade may help set up rules and procedures, within organisations, that might help combat gender discrimination.", 1.0
" In many countries, women are not granted the right to work at night.", " Women in developing countries have to face several barriers to work which fair trade has not been able to help them overcome.", 1.0
" The mining and oil industries are very important to African economies. These industries dont receive fair trade protection.", " Because fair trade is only available for agricultural products, a large amount of exports from Africa and Asia dont receive any of the benefits that come with fair trade.", 1.0
" Fair trade standards may require democratic decision-making processes that support women in having a greater say in the governance of their communities and workplaces.", " Fair trade may help set up rules and procedures, within organisations, that might help combat gender discrimination.", 1.0
" Among most fair trade producers and worker organisations, there remains a lack of explicit gender policies and implementation strategies (p. 10).", " Fair trade may help set up rules and procedures, within organisations, that might help combat gender discrimination.", -1.0
" According to the Consultative Group on International Agricultural Research, the global food wastage system is responsible for up to one-third of all human-caused greenhouse gas emissions, making it one of the largest contributors to climate change.", " Food losses and waste amount to roughly US $990 billion around the globe. If consumers focus on eliminating or redistributing this waste, then it is likely that the pollution created by food waste can be reduced.", 1.0
" In Ivory Coast, where women make up almost 68% of the labour force in the cocoa industry, the Women’s School of Leadership helps in training them with important business skills - such as providing them practical training in finance, negotiations and decision-making.", " The gender strategy of fair trade initiatives may be geared towards helping women develop strong leadership skills as a way of empowering them in their sectors.", 1.0
