arg1, arg2, attack_support
"am-ch697 -> ¬am-ch656", "am-ch656 -> am-ch539", "Attack"
"am-ch696 -> ¬am-ch655", "am-ch655 -> am-ch550", "Attack"
"am-ch658 -> ¬am-ch562", "am-ch562 -> ¬am-ch339", "Attack"
"am-ch654 -> ¬am-ch549", "am-ch549 -> ¬am-ch330", "Attack"
"am-ch657 -> ¬am-ch547", "am-ch547 -> ¬am-ch344", "Attack"
"am-ch652 -> am-ch542", "am-ch542 -> ¬am-ch337", "Support"
"am-ch697 -> ¬am-ch656", "am-ch656 -> am-ch539", "Attack"
"am-ch656 -> am-ch539", "am-ch539 -> am-ch336", "Support"
"am-ch659 -> ¬am-ch562", "am-ch562 -> ¬am-ch339", "Attack"
"am-ch662 -> am-ch545", "am-ch545 -> ¬am-ch323", "Support"
"am-ch696 -> ¬am-ch655", "am-ch655 -> am-ch550", "Attack"
"am-ch655 -> am-ch550", "am-ch550 -> ¬am-ch341", "Support"
"am-ch660 -> ¬am-ch536", "am-ch536 -> ¬am-ch329", "Attack"
"am-ch653 -> ¬am-ch534", "am-ch534 -> am-ch319", "Attack"
"am-ch661 -> ¬am-ch538", "am-ch538 -> ¬am-ch334", "Attack"
"am-ch567 -> ¬am-ch352", "am-ch352 -> ¬am-ch40", "Attack"
"am-ch547 -> ¬am-ch344", "am-ch344 -> ¬am-ch32", "Attack"
"am-ch657 -> ¬am-ch547", "am-ch547 -> ¬am-ch344", "Attack"
"am-ch548 -> ¬am-ch332", "am-ch332 -> am-ch38", "Attack"
"am-ch659 -> ¬am-ch562", "am-ch562 -> ¬am-ch339", "Attack"
"am-ch562 -> ¬am-ch339", "am-ch339 -> am-ch33", "Attack"
"am-ch658 -> ¬am-ch562", "am-ch562 -> ¬am-ch339", "Attack"
"am-ch653 -> ¬am-ch534", "am-ch534 -> am-ch319", "Attack"
"am-ch534 -> am-ch319", "am-ch319 -> ¬am-ch32", "Support"
"am-ch557 -> ¬am-ch333", "am-ch333 -> am-ch39", "Attack"
"am-ch563 -> ¬am-ch335", "am-ch335 -> ¬am-ch41", "Attack"
"am-ch544 -> ¬am-ch343", "am-ch343 -> ¬am-ch45", "Attack"
"am-ch574 -> ¬am-ch362", "am-ch362 -> ¬am-ch62", "Attack"
"am-ch577 -> ¬am-ch351", "am-ch351 -> ¬am-ch41", "Attack"
"am-ch561 -> ¬am-ch357", "am-ch357 -> ¬am-ch45", "Attack"
"am-ch656 -> am-ch539", "am-ch539 -> am-ch336", "Support"
"am-ch539 -> am-ch336", "am-ch336 -> ¬am-ch41", "Support"
"am-ch573 -> ¬am-ch352", "am-ch352 -> ¬am-ch40", "Attack"
"am-ch554 -> ¬am-ch341", "am-ch341 -> ¬am-ch43", "Attack"
"am-ch549 -> ¬am-ch330", "am-ch330 -> am-ch37", "Attack"
"am-ch654 -> ¬am-ch549", "am-ch549 -> ¬am-ch330", "Attack"
"am-ch536 -> ¬am-ch329", "am-ch329 -> am-ch38", "Attack"
"am-ch660 -> ¬am-ch536", "am-ch536 -> ¬am-ch329", "Attack"
"am-ch541 -> ¬am-ch335", "am-ch335 -> ¬am-ch41", "Attack"
"am-ch570 -> ¬am-ch355", "am-ch355 -> ¬am-ch33", "Attack"
"am-ch551 -> am-ch341", "am-ch341 -> ¬am-ch43", "Support"
"am-ch564 -> ¬am-ch353", "am-ch353 -> am-ch58", "Attack"
"am-ch560 -> am-ch349", "am-ch349 -> ¬am-ch32", "Support"
"am-ch543 -> am-ch338", "am-ch338 -> am-ch45", "Support"
"am-ch535 -> ¬am-ch321", "am-ch321 -> am-ch33", "Attack"
"am-ch538 -> ¬am-ch334", "am-ch334 -> ¬am-ch41", "Attack"
"am-ch661 -> ¬am-ch538", "am-ch538 -> ¬am-ch334", "Attack"
"am-ch571 -> ¬am-ch360", "am-ch360 -> ¬am-ch63", "Attack"
"am-ch565 -> am-ch358", "am-ch358 -> am-ch54", "Support"
"am-ch545 -> ¬am-ch323", "am-ch323 -> am-ch38", "Attack"
"am-ch662 -> am-ch545", "am-ch545 -> ¬am-ch323", "Support"
"am-ch569 -> am-ch328", "am-ch328 -> ¬am-ch40", "Support"
"am-ch572 -> ¬am-ch358", "am-ch358 -> am-ch54", "Attack"
"am-ch552 -> ¬am-ch326", "am-ch326 -> ¬am-ch36", "Attack"
"am-ch546 -> am-ch342", "am-ch342 -> ¬am-ch36", "Support"
"am-ch533 -> ¬am-ch318", "am-ch318 -> ¬am-ch32", "Attack"
"am-ch558 -> am-ch325", "am-ch325 -> ¬am-ch36", "Support"
"am-ch555 -> am-ch336", "am-ch336 -> ¬am-ch41", "Support"
"am-ch553 -> ¬am-ch322", "am-ch322 -> am-ch35", "Attack"
"am-ch576 -> ¬am-ch366", "am-ch366 -> am-ch38", "Attack"
"am-ch559 -> am-ch331", "am-ch331 -> am-ch38", "Support"
"am-ch566 -> ¬am-ch345", "am-ch345 -> ¬am-ch32", "Attack"
"am-ch550 -> ¬am-ch341", "am-ch341 -> ¬am-ch43", "Attack"
"am-ch655 -> am-ch550", "am-ch550 -> ¬am-ch341", "Support"
"am-ch537 -> ¬am-ch318", "am-ch318 -> ¬am-ch32", "Attack"
"am-ch556 -> ¬am-ch348", "am-ch348 -> am-ch45", "Attack"
"am-ch575 -> am-ch364", "am-ch364 -> ¬am-ch38", "Support"
"am-ch568 -> ¬am-ch320", "am-ch320 -> am-ch34", "Attack"
"am-ch542 -> ¬am-ch337", "am-ch337 -> am-ch32", "Attack"
"am-ch652 -> am-ch542", "am-ch542 -> ¬am-ch337", "Support"
