arg1, arg2, attack_support
"am-es66 -> ¬am-es65", "am-es65 -> ¬am-es61", "Attack"
"am-es63 -> ¬am-es58", "am-es58 -> ¬am-es49", "Attack"
"am-es66 -> ¬am-es65", "am-es65 -> ¬am-es61", "Attack"
"am-es65 -> ¬am-es61", "am-es61 -> ¬am-es54", "Attack"
"am-es64 -> ¬am-es62", "am-es62 -> ¬am-es55", "Attack"
"am-es61 -> ¬am-es54", "am-es54 -> ¬am-es37", "Attack"
"am-es65 -> ¬am-es61", "am-es61 -> ¬am-es54", "Attack"
"am-es60 -> ¬am-es53", "am-es53 -> ¬am-es36", "Attack"
"am-es57 -> ¬am-es48", "am-es48 -> ¬am-es32", "Attack"
"am-es64 -> ¬am-es62", "am-es62 -> ¬am-es55", "Attack"
"am-es62 -> ¬am-es55", "am-es55 -> ¬am-es37", "Attack"
"am-es59 -> ¬am-es52", "am-es52 -> ¬am-es36", "Attack"
"am-es63 -> ¬am-es58", "am-es58 -> ¬am-es49", "Attack"
"am-es58 -> ¬am-es49", "am-es49 -> ¬am-es32", "Attack"
"am-es54 -> ¬am-es37", "am-es37 -> ¬am-es16", "Attack"
"am-es61 -> ¬am-es54", "am-es54 -> ¬am-es37", "Attack"
"am-es57 -> ¬am-es48", "am-es48 -> ¬am-es32", "Attack"
"am-es48 -> ¬am-es32", "am-es32 -> ¬am-es13", "Attack"
"am-es51 -> ¬am-es35", "am-es35 -> am-es15", "Attack"
"am-es53 -> ¬am-es36", "am-es36 -> am-es16", "Attack"
"am-es60 -> ¬am-es53", "am-es53 -> ¬am-es36", "Attack"
"am-es52 -> ¬am-es36", "am-es36 -> am-es16", "Attack"
"am-es59 -> ¬am-es52", "am-es52 -> ¬am-es36", "Attack"
"am-es50 -> ¬am-es33", "am-es33 -> ¬am-es14", "Attack"
"am-es56 -> ¬am-es38", "am-es38 -> ¬am-es16", "Attack"
"am-es58 -> ¬am-es49", "am-es49 -> ¬am-es32", "Attack"
"am-es49 -> ¬am-es32", "am-es32 -> ¬am-es13", "Attack"
"am-es55 -> ¬am-es37", "am-es37 -> ¬am-es16", "Attack"
"am-es62 -> ¬am-es55", "am-es55 -> ¬am-es37", "Attack"
"am-es34 -> am-es15", "am-es15 -> ¬am-es2", "Support"
"am-es32 -> ¬am-es13", "am-es13 -> am-es2", "Attack"
"am-es48 -> ¬am-es32", "am-es32 -> ¬am-es13", "Attack"
"am-es49 -> ¬am-es32", "am-es32 -> ¬am-es13", "Attack"
"am-es54 -> ¬am-es37", "am-es37 -> ¬am-es16", "Attack"
"am-es55 -> ¬am-es37", "am-es37 -> ¬am-es16", "Attack"
"am-es37 -> ¬am-es16", "am-es16 -> ¬am-es2", "Attack"
"am-es50 -> ¬am-es33", "am-es33 -> ¬am-es14", "Attack"
"am-es33 -> ¬am-es14", "am-es14 -> ¬am-es2", "Attack"
"am-es51 -> ¬am-es35", "am-es35 -> am-es15", "Attack"
"am-es35 -> am-es15", "am-es15 -> ¬am-es2", "Support"
"am-es38 -> ¬am-es16", "am-es16 -> ¬am-es2", "Attack"
"am-es56 -> ¬am-es38", "am-es38 -> ¬am-es16", "Attack"
"am-es52 -> ¬am-es36", "am-es36 -> am-es16", "Attack"
"am-es53 -> ¬am-es36", "am-es36 -> am-es16", "Attack"
"am-es36 -> am-es16", "am-es16 -> ¬am-es2", "Support"
"am-es32 -> ¬am-es13", "am-es13 -> am-es2", "Attack"
"am-es33 -> ¬am-es14", "am-es14 -> ¬am-es2", "Attack"
"am-es37 -> ¬am-es16", "am-es16 -> ¬am-es2", "Attack"
"am-es38 -> ¬am-es16", "am-es16 -> ¬am-es2", "Attack"
"am-es36 -> am-es16", "am-es16 -> ¬am-es2", "Support"
"am-es35 -> am-es15", "am-es15 -> ¬am-es2", "Support"
"am-es34 -> am-es15", "am-es15 -> ¬am-es2", "Support"
