arg1, arg2, attack_support
"am-fr73 -> ¬am-fr70", "am-fr70 -> am-fr61", "Attack"
"am-fr74 -> ¬am-fr72", "am-fr72 -> am-fr61", "Attack"
"am-fr74 -> ¬am-fr72", "am-fr72 -> am-fr61", "Attack"
"am-fr72 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr71 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr73 -> ¬am-fr70", "am-fr70 -> am-fr61", "Attack"
"am-fr70 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr63 -> ¬am-fr47", "am-fr47 -> ¬am-fr19", "Attack"
"am-fr61 -> ¬am-fr50", "am-fr50 -> ¬am-fr20", "Attack"
"am-fr71 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr72 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr70 -> am-fr61", "am-fr61 -> ¬am-fr50", "Support"
"am-fr62 -> ¬am-fr49", "am-fr49 -> ¬am-fr20", "Attack"
"am-fr64 -> ¬am-fr48", "am-fr48 -> ¬am-fr19", "Attack"
"am-fr48 -> ¬am-fr19", "am-fr19 -> am-fr3", "Attack"
"am-fr64 -> ¬am-fr48", "am-fr48 -> ¬am-fr19", "Attack"
"am-fr49 -> ¬am-fr20", "am-fr20 -> am-fr3", "Attack"
"am-fr62 -> ¬am-fr49", "am-fr49 -> ¬am-fr20", "Attack"
"am-fr50 -> ¬am-fr20", "am-fr20 -> am-fr3", "Attack"
"am-fr61 -> ¬am-fr50", "am-fr50 -> ¬am-fr20", "Attack"
"am-fr63 -> ¬am-fr47", "am-fr47 -> ¬am-fr19", "Attack"
"am-fr47 -> ¬am-fr19", "am-fr19 -> am-fr3", "Attack"
"am-fr47 -> ¬am-fr19", "am-fr19 -> am-fr3", "Attack"
"am-fr48 -> ¬am-fr19", "am-fr19 -> am-fr3", "Attack"
"am-fr50 -> ¬am-fr20", "am-fr20 -> am-fr3", "Attack"
"am-fr49 -> ¬am-fr20", "am-fr20 -> am-fr3", "Attack"
