arg1, arg2, attack_support
"am-pl18 -> am-pl17", "am-pl17 -> am-pl15", "Support"
"am-pl18 -> am-pl17", "am-pl17 -> am-pl15", "Support"
"am-pl17 -> am-pl15", "am-pl15 -> am-pl13", "Support"
"am-pl16 -> am-pl14", "am-pl14 -> ¬am-pl5", "Support"
"am-pl17 -> am-pl15", "am-pl15 -> am-pl13", "Support"
"am-pl15 -> am-pl13", "am-pl13 -> ¬am-pl6", "Support"
"am-pl13 -> ¬am-pl6", "am-pl6 -> am-pl1", "Attack"
"am-pl15 -> am-pl13", "am-pl13 -> ¬am-pl6", "Support"
"am-pl14 -> ¬am-pl5", "am-pl5 -> am-pl1", "Attack"
"am-pl16 -> am-pl14", "am-pl14 -> ¬am-pl5", "Support"
"am-pl12 -> am-pl4", "am-pl4 -> ¬am-pl0", "Support"
"am-pl9 -> ¬am-pl2", "am-pl2 -> am-pl0", "Attack"
"am-pl13 -> ¬am-pl6", "am-pl6 -> am-pl1", "Attack"
"am-pl6 -> am-pl1", "am-pl1 -> am-pl0", "Support"
"am-pl7 -> am-pl2", "am-pl2 -> am-pl0", "Support"
"am-pl10 -> am-pl3", "am-pl3 -> ¬am-pl0", "Support"
"am-pl11 -> am-pl4", "am-pl4 -> ¬am-pl0", "Support"
"am-pl8 -> ¬am-pl2", "am-pl2 -> am-pl0", "Attack"
"am-pl14 -> ¬am-pl5", "am-pl5 -> am-pl1", "Attack"
"am-pl5 -> am-pl1", "am-pl1 -> am-pl0", "Support"
"am-pl8 -> ¬am-pl2", "am-pl2 -> am-pl0", "Attack"
"am-pl9 -> ¬am-pl2", "am-pl2 -> am-pl0", "Attack"
"am-pl7 -> am-pl2", "am-pl2 -> am-pl0", "Support"
"am-pl5 -> am-pl1", "am-pl1 -> am-pl0", "Support"
"am-pl6 -> am-pl1", "am-pl1 -> am-pl0", "Support"
"am-pl10 -> am-pl3", "am-pl3 -> ¬am-pl0", "Support"
"am-pl11 -> am-pl4", "am-pl4 -> ¬am-pl0", "Support"
"am-pl12 -> am-pl4", "am-pl4 -> ¬am-pl0", "Support"
