arg1, arg2, attack_support
"am-tr111 -> am-tr85", "am-tr85 -> am-tr24", "Support"
"am-tr110 -> am-tr84", "am-tr84 -> am-tr23", "Support"
"am-tr82 -> ¬am-tr20", "am-tr20 -> am-tr0", "Attack"
"am-tr83 -> ¬am-tr20", "am-tr20 -> am-tr0", "Attack"
"am-tr110 -> am-tr84", "am-tr84 -> am-tr23", "Support"
"am-tr84 -> am-tr23", "am-tr23 -> ¬am-tr0", "Support"
"am-tr111 -> am-tr85", "am-tr85 -> am-tr24", "Support"
"am-tr85 -> am-tr24", "am-tr24 -> ¬am-tr0", "Support"
"am-tr81 -> am-tr20", "am-tr20 -> am-tr0", "Support"
"am-tr85 -> am-tr24", "am-tr24 -> ¬am-tr0", "Support"
"am-tr83 -> ¬am-tr20", "am-tr20 -> am-tr0", "Attack"
"am-tr82 -> ¬am-tr20", "am-tr20 -> am-tr0", "Attack"
"am-tr81 -> am-tr20", "am-tr20 -> am-tr0", "Support"
"am-tr84 -> am-tr23", "am-tr23 -> ¬am-tr0", "Support"
