arg1, arg2, attack_support
"kl17013 -> kl15464", "kl15464 -> kl13987", "Support"
"kl17067 -> kl15464", "kl15464 -> kl13987", "Support"
"kl16758 -> kl15464", "kl15464 -> kl13987", "Support"
"kl15464 -> kl13987", "kl13987 -> kl10229", "Support"
"kl16758 -> kl15464", "kl15464 -> kl13987", "Support"
"kl17067 -> kl15464", "kl15464 -> kl13987", "Support"
"kl17013 -> kl15464", "kl15464 -> kl13987", "Support"
"kl15913 -> ¬kl14187", "kl14187 -> kl10954", "Attack"
"kl15735 -> ¬kl13987", "kl13987 -> kl10229", "Attack"
"kl15429 -> ¬kl14831", "kl14831 -> ¬kl9803", "Attack"
"kl15807 -> kl13987", "kl13987 -> kl10229", "Support"
"kl15806 -> kl13987", "kl13987 -> kl10229", "Support"
"kl15666 -> kl13987", "kl13987 -> kl10229", "Support"
"kl13547 -> kl9845", "kl9845 -> ¬kl8552", "Support"
"kl15517 -> ¬kl13959", "kl13959 -> kl11650", "Attack"
"kl14831 -> ¬kl9803", "kl9803 -> kl8554", "Attack"
"kl15429 -> ¬kl14831", "kl14831 -> ¬kl9803", "Attack"
"kl13228 -> kl9845", "kl9845 -> ¬kl8552", "Support"
"kl16072 -> kl13959", "kl13959 -> kl11650", "Support"
"kl15977 -> ¬kl14943", "kl14943 -> kl11658", "Attack"
"kl12902 -> ¬kl9845", "kl9845 -> ¬kl8552", "Attack"
"kl12672 -> kl10145", "kl10145 -> ¬kl8554", "Support"
"kl14338 -> kl9870", "kl9870 -> kl8867", "Support"
"kl14070 -> kl10229", "kl10229 -> kl8866", "Support"
"kl16343 -> ¬kl13959", "kl13959 -> kl11650", "Attack"
"kl15913 -> ¬kl14187", "kl14187 -> kl10954", "Attack"
"kl14187 -> kl10954", "kl10954 -> ¬kl7569", "Support"
"kl13001 -> kl9122", "kl9122 -> kl8512", "Support"
"kl14806 -> kl11444", "kl11444 -> ¬kl6592", "Support"
"kl15735 -> ¬kl13987", "kl13987 -> kl10229", "Attack"
"kl13987 -> kl10229", "kl10229 -> kl8866", "Support"
"kl15666 -> kl13987", "kl13987 -> kl10229", "Support"
"kl15807 -> kl13987", "kl13987 -> kl10229", "Support"
"kl15806 -> kl13987", "kl13987 -> kl10229", "Support"
"kl15464 -> kl13987", "kl13987 -> kl10229", "Support"
"kl12795 -> kl9870", "kl9870 -> kl8867", "Support"
"kl12660 -> ¬kl9458", "kl9458 -> kl7488", "Attack"
"kl16081 -> kl12728", "kl12728 -> kl10573", "Support"
"kl14691 -> kl10145", "kl10145 -> ¬kl8554", "Support"
"kl12700 -> kl9870", "kl9870 -> kl8867", "Support"
"kl13531 -> kl11650", "kl11650 -> kl3427", "Support"
"kl9223 -> kl8885", "kl8885 -> kl3038", "Support"
"kl9809 -> kl6496", "kl6496 -> kl3945", "Support"
"kl13484 -> kl11373", "kl11373 -> kl3198", "Support"
"kl9367 -> kl7488", "kl7488 -> ¬kl4847", "Support"
"kl10145 -> ¬kl8554", "kl8554 -> kl3867", "Attack"
"kl9889 -> ¬kl10145", "kl10145 -> ¬kl8554", "Attack"
"kl14691 -> kl10145", "kl10145 -> ¬kl8554", "Support"
"kl12672 -> kl10145", "kl10145 -> ¬kl8554", "Support"
"kl11273 -> kl8554", "kl8554 -> kl3867", "Support"
"kl13780 -> ¬kl10230", "kl10230 -> kl8866", "Attack"
"kl3857 -> kl13780", "kl13780 -> kl11373", "Support"
"kl3857 -> kl13780", "kl13780 -> ¬kl10230", "Support"
"kl13780 -> kl11373", "kl11373 -> kl3198", "Support"
"kl13987 -> kl10229", "kl10229 -> kl8866", "Support"
"kl14070 -> kl10229", "kl10229 -> kl8866", "Support"
"kl10229 -> kl8866", "kl8866 -> kl2623", "Support"
"kl10914 -> kl8431", "kl8431 -> ¬kl5834", "Support"
"kl13111 -> ¬kl10693", "kl10693 -> ¬kl3427", "Attack"
"kl10428 -> kl6824", "kl6824 -> kl2623", "Support"
"kl9347 -> kl8885", "kl8885 -> kl3038", "Support"
"kl16081 -> kl12728", "kl12728 -> kl10573", "Support"
"kl12728 -> kl10573", "kl10573 -> kl2623", "Support"
"kl9889 -> ¬kl10145", "kl10145 -> ¬kl8554", "Attack"
"kl9889 -> kl7559", "kl7559 -> ¬kl3372", "Support"
"kl10913 -> ¬kl8885", "kl8885 -> kl3038", "Attack"
"kl12676 -> kl11538", "kl11538 -> ¬kl2325", "Support"
"kl9843 -> kl6496", "kl6496 -> kl3945", "Support"
"kl14337 -> kl11377", "kl11377 -> kl3372", "Support"
"kl9845 -> ¬kl8552", "kl8552 -> kl4920", "Attack"
"kl12902 -> ¬kl9845", "kl9845 -> ¬kl8552", "Attack"
"kl13547 -> kl9845", "kl9845 -> ¬kl8552", "Support"
"kl13228 -> kl9845", "kl9845 -> ¬kl8552", "Support"
