arg1, arg2, attack_support
"wd2468 -> wd923", "wd923 -> wd289", "Support"
"wd2483 -> wd921", "wd921 -> wd289", "Support"
"wd2460 -> wd920", "wd920 -> wd289", "Support"
"wd1124 -> wd923", "wd923 -> wd289", "Support"
"wd2469 -> wd923", "wd923 -> wd289", "Support"
"wd2457 -> wd920", "wd920 -> wd289", "Support"
"wd2456 -> wd920", "wd920 -> wd289", "Support"
"wd1563 -> wd921", "wd921 -> wd289", "Support"
"wd2470 -> wd923", "wd923 -> wd289", "Support"
"wd2545 -> ¬wd293", "wd293 -> ¬wd27", "Attack"
"wd2546 -> ¬wd293", "wd293 -> ¬wd27", "Attack"
"wd2544 -> wd293", "wd293 -> ¬wd27", "Support"
"wd2542 -> wd293", "wd293 -> ¬wd27", "Support"
"wd2543 -> wd293", "wd293 -> ¬wd27", "Support"
"wd1805 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd1803 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd1804 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd1793 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1794 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1792 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1798 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1801 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1802 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1796 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1800 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1799 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1791 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1795 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1797 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2360 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2359 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2362 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2361 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2357 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2358 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2356 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd920 -> wd289", "wd289 -> ¬wd27", "Support"
"wd923 -> wd289", "wd289 -> ¬wd27", "Support"
"wd922 -> wd289", "wd289 -> ¬wd27", "Support"
"wd2355 -> wd289", "wd289 -> ¬wd27", "Support"
"wd921 -> wd289", "wd289 -> ¬wd27", "Support"
"wd2360 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd1803 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd2543 -> wd293", "wd293 -> ¬wd27", "Support"
"wd1795 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2358 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd1794 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2361 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd1801 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2357 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd1799 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2483 -> wd921", "wd921 -> wd289", "Support"
"wd2485 -> wd921", "wd921 -> wd289", "Support"
"wd2484 -> wd921", "wd921 -> wd289", "Support"
"wd921 -> wd289", "wd289 -> ¬wd27", "Support"
"wd2482 -> wd921", "wd921 -> wd289", "Support"
"wd1563 -> wd921", "wd921 -> wd289", "Support"
"wd2545 -> ¬wd293", "wd293 -> ¬wd27", "Attack"
"wd1804 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd1798 -> wd292", "wd292 -> ¬wd27", "Support"
"wd923 -> wd289", "wd289 -> ¬wd27", "Support"
"wd1564 -> wd923", "wd923 -> wd289", "Support"
"wd1124 -> wd923", "wd923 -> wd289", "Support"
"wd2468 -> wd923", "wd923 -> wd289", "Support"
"wd2469 -> wd923", "wd923 -> wd289", "Support"
"wd2470 -> wd923", "wd923 -> wd289", "Support"
"wd1793 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1802 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2362 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2544 -> wd293", "wd293 -> ¬wd27", "Support"
"wd2542 -> wd293", "wd293 -> ¬wd27", "Support"
"wd1800 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2458 -> wd920", "wd920 -> wd289", "Support"
"wd2457 -> wd920", "wd920 -> wd289", "Support"
"wd2456 -> wd920", "wd920 -> wd289", "Support"
"wd920 -> wd289", "wd289 -> ¬wd27", "Support"
"wd2460 -> wd920", "wd920 -> wd289", "Support"
"wd2459 -> wd920", "wd920 -> wd289", "Support"
"wd1796 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2359 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd2355 -> wd289", "wd289 -> ¬wd27", "Support"
"wd1791 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2546 -> ¬wd293", "wd293 -> ¬wd27", "Attack"
"wd1792 -> wd292", "wd292 -> ¬wd27", "Support"
"wd1797 -> wd292", "wd292 -> ¬wd27", "Support"
"wd2330 -> wd922", "wd922 -> wd289", "Support"
"wd922 -> wd289", "wd289 -> ¬wd27", "Support"
"wd1805 -> ¬wd292", "wd292 -> ¬wd27", "Attack"
"wd2356 -> ¬wd289", "wd289 -> ¬wd27", "Attack"
"wd1564 -> wd923", "wd923 -> wd289", "Support"
"wd2482 -> wd921", "wd921 -> wd289", "Support"
"wd2459 -> wd920", "wd920 -> wd289", "Support"
"wd2330 -> wd922", "wd922 -> wd289", "Support"
"wd2458 -> wd920", "wd920 -> wd289", "Support"
"wd2484 -> wd921", "wd921 -> wd289", "Support"
"wd2485 -> wd921", "wd921 -> wd289", "Support"
