premise, conclusion, weight
"雖紙吸管仍使用到塑膠，但已有減量", "以紙吸管為例:因有鍍塑膠膜，回收工程不易", -0.5
"塑膠微粒被浮游動物誤食後，透過食物鏈到高級消費者身上", "case 3:中途島動物誤食塑膠而死亡，包含瓶蓋、塑膠微粒", 1.0
"醫療產業為例:影響衛生方面、消毒成本", "代替一次性使用是否真的比較好?", 1.0
"Case 1:研究人員從一隻欖蠵龜的鼻孔裡撬出一根吸管。", "根據統計:每年有八百噸塑膠用品會排進海洋，會使生物受到影響。", 1.0
"以紙吸管為例:因有鍍塑膠膜，回收工程不易", "代替一次性使用是否真的比較好?", 1.0
"case 3:中途島動物誤食塑膠而死亡，包含瓶蓋、塑膠微粒", "根據統計:每年有八百噸塑膠用品會排進海洋，會使生物受到影響。", 1.0
"先減少一次性塑膠材質，並持續找出替代方案", "紙袋生產過程碳足跡也相當的大，並沒有較環保", -0.5
"Case 2:抹香鯨陳屍印尼海灘，胃塞6公斤塑膠垃圾", "根據統計:每年有八百噸塑膠用品會排進海洋，會使生物受到影響。", 1.0
"環保署公告:2020年，開立發票店家全面禁止提供一次性餐具；2025年，塑膠袋價格提高；2030年，全面禁止使用。", " 限制使用一次性塑膠用具", 1.0
"環保大眾教育上仍未完全普及，分類仍粗略", " 限制使用一次性塑膠用具", -1.0
"一次性塑膠垃圾因輕巧不易管理；且後面處理上需繁雜的過程，才能避免危害環境，否則焚燒如果不完全將產生戴奧辛有毒氣體。", " 限制使用一次性塑膠用具", 1.0
"紙袋生產過程碳足跡也相當的大，並沒有較環保", " 限制使用一次性塑膠用具", -1.0
"代替一次性使用是否真的比較好?", " 限制使用一次性塑膠用具", -1.0
"根據統計:每年有八百噸塑膠用品會排進海洋，會使生物受到影響。", " 限制使用一次性塑膠用具", 1.0
"塑膠餐具便利、便宜", " 限制使用一次性塑膠用具", -1.0
