premise, conclusion, weight
"Se podría llegar a un equilibrio permitiendo un monto máximo heredable y el resto permitir delegar lo en fundaciones con objetivos que no planteen conflictos con los humanos supervivientes al heredador.", "La idea de heredar al estado a la vez que este es percibido como un ente corrupto, ineficiente, produce o desmotivación en la producción de riqueza o por el contrario la emergencia de maniobras evasivas de la ley.", -0.5
"Las redes sociales plantean la posibilidad de propagar ideas en ausencia del soporte de grandes capitales.", "Internet provee herramientas para que los legisladores no sean más que transmisores de resoluciones obtenidas a partir de plataformas digitales de accesibilidad masiva y transformar el sistema en una gran democracia directa mediada por internet.", -1.0
"La idea de heredar al estado a la vez que este es percibido como un ente corrupto, ineficiente, produce o desmotivación en la producción de riqueza o por el contrario la emergencia de maniobras evasivas de la ley.", "Se podría implementar un impuesto a la herencia que filtre la formación de dinastías.", -1.0
"Por más que el poder político se encuentre indebidamente localizado en carácter transitorio, el resto de la civilización no tiene por qué transcurrir su existencia experimentando un mundo gobernado por ineptos de turno (ya sean de 3ra generacion o nuevos, la rotación no es relevante).", "Se ha estudiado que en promedio las riquezas familiares perduran por 3 generaciones y luego se diluyen.", -1.0
"Se podría implementar un impuesto a la herencia que filtre la formación de dinastías.", "Si el capital se hereda, su vínculo con un carácter meritorio se elimina.", -1.0
"Las leyes de los países les permiten actuar con violencia de fuerzas armadas para reprimir el separatismo.", "Una subpoblación podría buscar separarse y lograr su independencia.", -1.0
"Las redes sociales plantean la posibilidad de propagar masivamente ideas en ausencia de un soporte masivo de capital.", "La población es muy susceptible a la influencia de los medios masivos de comunicación que son empresas con fines de lucro bajo control de grandes capitales.", -1.0
"Se ha estudiado que en promedio las riquezas familiares perduran por 3 generaciones y luego se diluyen.", "Históricamente ha ocurrido que aquel mérito no se debe a un carácter progresista si no violento. Quienes se quedaban con el capital eran familias vinculadas a ejércitos conquistadores.O familias vinculadas a políticos corruptos.", -0.5
"Sigue habiendo un gobierno central que determina el rumbo.", "Hay representantes distritales vinculados a subpoblaciones de dimensión moderada y accesible en ausencia de grandes capitales para publicidad.", -0.5
"Internet provee herramientas para que los legisladores no sean más que transmisores de resoluciones obtenidas a partir de plataformas digitales de accesibilidad masiva y transformar el sistema en una gran democracia directa mediada por internet.", "La clase política persigue aprobación popular en busca de votos o puede arreisgarse accionando contrario a la opinión de su base de votantes si recibiera un soborno.", -1.0
"Si el capital se hereda, su vínculo con un carácter meritorio se elimina.", "Quién controla un gran capital posee un carácter meritorio que lo produjo y por ende quedaria mitigada la posibilidad del poder en manos de extremadamente ineptos.", -1.0
"La población es muy susceptible a la influencia de los medios masivos de comunicación que son empresas con fines de lucro bajo control de grandes capitales.", "Cualquier acción requiere convencer a una gran fracción de la población, o a integrantes de la clase política.", -0.5
"Está motivación podría modulares a partir de la propagación de nuevos modos y modas.", "Las personas llegan a un punto de su vida donde buscan satisfacer sus requerimientos sociales a partir de la gestación de su propia familia en lugar de buscar satisfacer el requerimiento en vínculos con humanos preexistentes.", -0.5
"Una subpoblación podría buscar separarse y lograr su independencia.", "La población de los países ya no es de las dimensiones que era al plantearse el sistema.", -1.0
"Hay representantes distritales vinculados a subpoblaciones de dimensión moderada y accesible en ausencia de grandes capitales para publicidad.", "La población de los países ya no es de las dimensiones que era al plantearse el sistema.", -1.0
