premise, conclusion, weight
"Le problème reste le même : favoriser des pauvres jeunes par rapport à d'autres pauvres ne réduit pas le nombre de pauvres. Et la suppression des cotisations retraites augmentera le problème de leur financement.", "Les jeunes sont plus pauvres en moyenne que le reste de la population.", -1.0
"S'ils ont déjà plus d'énergie à dépenser, ils sont donc déjà avantagés à l'embauche, nul besoin d'en rajouter.", "Les jeunes sont dans la 'force de l'âge', et ont donc plus d’énergie à dépenser que leurs aînés.", -0.5
"Les jeunes sont dans la 'force de l'âge', et ont donc plus d’énergie à dépenser que leurs aînés.", "Faire travailler les jeunes est plus important que de faire travailler le reste de la population.", 1.0
"Les jeunes ont besoin de s'insérer dans la société", "Faire travailler les jeunes est plus important que de faire travailler le reste de la population.", 1.0
"Les jeunes sont plus pauvres en moyenne que le reste de la population.", "Faire travailler les jeunes est plus important que de faire travailler le reste de la population.", 1.0
"(réponse au sophisme)Merci de vous renseigner sur le système de retraite avant de signaler un sophisme : c'est un système par répartition, et pas par capitalisation.", "C'est partir du principe que le système actuel de retraite prendra fin un jour.", -0.5
"Faire travailler les jeunes est plus important que de faire travailler le reste de la population.", "Favoriser l'emploi des 'jeunes' implique de défavoriser l'emploi des autres. Cela ne contribuerait donc pas à une réduction du chômage, mais simplement à discriminer les + de 30 ans à l'embauche.", -1.0
"(réponse au sophisme)Ca n'est pas une conclusion. je n'ai pas dit 'la réduction des charges n'a pas d'effet', mais 'la réduction des charges n'entraine pas SYSTEMATIQUEMENT [...]'", "La réduction des charges n’entraîne pas systématiquement de l'emploi (cf échec du pacte de compétitivité)", -0.5
"Il n'y a donc pas rupture d'égalité, parce qu'il n'y en a jamais eu. Toujours pas de sophisme ici.Vu autrement : les jeunes d'aujourd'hui, comme ceux d'avants, toucheront des retraites basées sur la productivité des jeunes.", "Le concept de la retraite par répartition n'est pas d'atteindre une égalité générationnelle, mais de répartir une portion des richesses créées a destination des retaités. Les jeunes toucheront les retraites payées par les travailleurs du futur.", -0.5
"Le concept de la retraite par répartition n'est pas d'atteindre une égalité générationnelle, mais de répartir une portion des richesses créées a destination des retaités. Les jeunes toucheront les retraites payées par les travailleurs du futur.", "Les jeunes contribuent à fonds perdus, ne profiteront pas de la même retraite que leurs aînés. Il y a une rupture d'égalité générationnelle.", -1.0
"La réduction des charges n’entraîne pas systématiquement de l'emploi (cf échec du pacte de compétitivité)", "Cela permettra de diminuer les charges, et de faciliter l'emploi des jeunes. (Environ 25% chez les moins de 25 ans)", -1.0
"Favoriser l'emploi des 'jeunes' implique de défavoriser l'emploi des autres. Cela ne contribuerait donc pas à une réduction du chômage, mais simplement à discriminer les + de 30 ans à l'embauche.", "Cela permettra de diminuer les charges, et de faciliter l'emploi des jeunes. (Environ 25% chez les moins de 25 ans)", -1.0
"C'est partir du principe que le système actuel de retraite prendra fin un jour.", "Les jeunes contribuent à fonds perdus, ne profiteront pas de la même retraite que leurs aînés. Il y a une rupture d'égalité générationnelle.", -1.0
"Les jeunes contribuent à fonds perdus, ne profiteront pas de la même retraite que leurs aînés. Il y a une rupture d'égalité générationnelle.", " Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.", 1.0
"Cela permettra de diminuer les charges, et de faciliter l'emploi des jeunes. (Environ 25% chez les moins de 25 ans)", " Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.", 1.0
"Cela impliquerait que les plus de 30 ans cotisent plus si l'on veut garder les retraites au même niveau.", " Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.", -0.5
"La cotisation retraite est une solidarité envers les ainés dans la réalité. On ne cotise pas pour soi mais pour les actuels retraités.", " Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans.", -1.0
