premise, conclusion, weight
"Bir yazılımın yaptığı bir hesapta bağımsız bir değer alan fonksiyon mevcut olduğu halde, hesap bir sonuç veriyorsa bu olgu mantıksız değil; aksine analitik mantık kadar doğrudur.Yazılım; kaderİşlem; dünyaSonuç; ahiretBağımsız değer fonksiyonu; özgür iradeİşlemde mantıksızlık yoktur.", "1- Semavi Tanrı zamanı yaratmıştır.2- Yarattıklarından münezzehtir.Yani; Tanrı zamandan bağımsızdır. Bu perspektiften her şey Onun için olmuş-bitmiş olabilir. Bir insan gibi oturup testin bilinen sonucunu beklemesi zorunlu değildir.", 1.0
"A kavramının B koşullarında C yapması bekleniliyor ancak D yapıyorsa bunun mantıksız olması zorunlu değil; beklenilmeyen olması yeterlidir.A kavramının B koşullarında C yapacağı biliniyor ve buna rağmen D yapıyorsa, bu mantıksız olması için yeterlidir.Ana argüman bunu sağlamıyor.", "1- Analoji, ancak A ve B olguları benzer ise ve/veya benzer ilişkiler mevcutsa tutarlıdır.2- Tanrı kavramına dair tüm özellikleri bilmiyoruz.Yani;Tanrıyla ilgili yapılan tüm analojiler mantıksal zeminden yoksundur.", 1.0
"İnsanın, tanrı karşısında özgür bir irâdesinin olmadığı varsayılırsa önerme doğrudur. Aksi durumda test mantıksız değildir.", "Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz.", -1.0
"Allah kuran da insanı bir kadere göre yarattık derken, insanın ne yapacağını hayatını nasıl geçireceğini kast etmemiştir. Kader 'miktar', 'kural' demektir. Allah herşeyi bir kader ve kurala göre yaratmıştır. Burada bir anlam kargaşası vardır.", "Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz.", -0.5
"1- Analoji, ancak A ve B olguları benzer ise ve/veya benzer ilişkiler mevcutsa tutarlıdır.2- Tanrı kavramına dair tüm özellikleri bilmiyoruz.Yani;Tanrıyla ilgili yapılan tüm analojiler mantıksal zeminden yoksundur.", "Tanrı test sonucunu biliyor, ve testi buna rağmen yapıyor ise burada bir çelişki değil, anlaşılmayan vardır. Bu bir şeyi mantıksız yapmaz, gizemli yapar. Net bir çelişki tespit edilemediği sürece, objektif bir mantıksızlıktan bahsedilemez.", 1.0
"1- Semavi Tanrı zamanı yaratmıştır.2- Yarattıklarından münezzehtir.Yani; Tanrı zamandan bağımsızdır. Bu perspektiften her şey Onun için olmuş-bitmiş olabilir. Bir insan gibi oturup testin bilinen sonucunu beklemesi zorunlu değildir.", "Semavi Tanrı yarattıklarından münezzehtir. Dolayısıyla yaratılanlar benzetme, örneklemdirme üzerinden yürütülecek bir argüman 'Composition fallacy' kadar hatalı olacaktır.", 1.0
"Allah, bir insanı yarattığı anda onun sonunu bilmesi, balıkçının balığın çölde dayanamayacığını bilmesi gibidir.Balığın teste evet demesi, insanların cahilliği sonucu dünyadaki teste tâbi olmayı kabul etmeleri gibidir.Balıkçının balığı bu teste sokması mantıklı mıdır, tartışılır.", "Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz.", 1.0
"Mantıksız olması için bir çelişki bulunmalıdır ve tanımsız bir ifadenin bulunduğu denklemde çelişki bulunamaz, çünkü ifadelerin denkliği bilinmemektedir.", " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.", -0.5
"Semavi Tanrı yarattıklarından münezzehtir. Dolayısıyla yaratılanlar benzetme, örneklemdirme üzerinden yürütülecek bir argüman 'Composition fallacy' kadar hatalı olacaktır.", " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.", -1.0
"Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz.", " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.", 1.0
"Allah insanın kaderini bilir. Kader denilen şey ise yapılan seçimlerdir. Bir RPG oyun ya da 'Kelebek Etkisi' filmindeki gibidir. Karşılaştığımız yol ayrımlarında yaptığımız seçimler hayatımızı oluşturur. Allah, bu yolların nereye çıktığını bilir. Seçimi insanın kendisine bırakmıştır.", " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.", -1.0
"Tanrı test sonucunu biliyor, ve testi buna rağmen yapıyor ise burada bir çelişki değil, anlaşılmayan vardır. Bu bir şeyi mantıksız yapmaz, gizemli yapar. Net bir çelişki tespit edilemediği sürece, objektif bir mantıksızlıktan bahsedilemez.", " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır.", -1.0
