premise, conclusion, weight
" Making plans while alive for what happens to ones body falls under opting-out of being a donor. Bodily autonomy ceases on death, but decisions taken while alive do not expire.", " This is highly contentious. One can easily make plans whilst still alive for what happens to ones body;to say it simply ceases the moment life does is to undermine the autonomy held while alive.", -1.0
" Precisely because of the arguably worse consequences of inaction on this front, people are much less likely to forget to opt-out if they have an active aversion to organ donation.", " Equally, many people who dont want to donate may forget to opt-out. The consequences of this possibility are arguably graver than of forgetting to opt-in.", -1.0
" Some people think their sons should be circumcised, but assuming the parent does unless they specify they dont would cause problems. Ultimately, a supernatural belief should be opt-in, and assuming the body is sacred makes that belief an opt-out.", " Some people think their body is sacred and that should be respected.", -1.0
" There are many legal ways to contest a will. Lawyers could undoubtedly draft such a process to legally contest an organ donation.", " If a deceased family member was opposed to donation, they would have said so prior to death. Assuming the opinions of a dead person is bizarre, particularly if their action or lack of action indicates a different opinion.", -1.0
" 6,300 people died in the US in 2006 while waiting for an organ transplant.", " There is a shortage of organ donations in most countries.", 1.0
" Post-mortem examination is usually carried out in order to convict the person responsible for some crime. If not convicted, said person could cause harm to other people, therefore protecting their well-being should be considered more important than protecting deceaseds (familys) religious wishes.", " With the same logic performing a post mortem would also need to be considered the same.", -1.0
" Equally, many people who dont want to donate may forget to opt-out. The consequences of this possibility are arguably graver than of forgetting to opt-in.", " Many people who might want to donate simply forget to sign up.", -1.0
" Medical autonomy is reached at the age of sixteen. It merely requires a letter in the post to inform those who are being automatically opted-in;they can then take whatever action they consider necessary.", " This can be easily averted by announcing the opt-out system well in advance of it entering into force, and by public information/education messages. That way everyone has the chance to opt-out before they are automatically opted in.", 1.0
" Nor should the voices of those who do not support it, if fewer in number, outweight those who support it. People who do not support it will still be able to deny donating their organs by opting-out of the program.", " This doesnt eliminate the voices of those who do not support it, and whose reservations deserve to be given weight.", -1.0
" People living and then dying has been the nature of life so far. There is no moral imperative that demands this to remain so now or in the future, no reason why death should not be postponed even indefinitely. Life expectancy was 26 years in the bronze age. In that sense we are already way past what was considered natural for our ancestors.", " People live and then they die, that is the nature of life. Due to technological advances, bodies can be kept alive almost independent of the vitality inside. Next to expensive, this keeping-people-alive-no-matter-what can also get ethically questionable, for example when life extension is nothing more than prolonged suffering. Therefore, instead of sacrificing ethical standards to stretch life, society might benefit more from clear policies on when to intervene and when not to.", -1.0
" If this is such a vital issue, then it the individuals responsibility to ensure they have not been signed up.", " Even with wide reaching information campaigns, there is the risk that some people opposed to donating organs will not realise they are opted in.", -1.0
" This is highly contentious. One can easily make plans whilst still alive for what happens to ones body;to say it simply ceases the moment life does is to undermine the autonomy held while alive.", " Bodily autonomy, by definition, ends at the point of death.", -1.0
" Possibility for ethical issues for medical personnel, for example in an instance where potentially not reviving a patient with viable/donate-able organs would benefit other patients waiting for compatible organ donation.", " We should have an opt-out system for organ donation.", -1.0
" Someone who is opposed may pass away before having the opportunity to opt out (unexpected or untimely death).", " We should have an opt-out system for organ donation.", -1.0
" Fewer people would pass away because they couldnt get a vital organ in time.", " We should have an opt-out system for organ donation.", 1.0
" Using parts of a recently deceased persons body without their, or their familys, explicit consent could easily be considered desecration of a corpse.", " We should have an opt-out system for organ donation.", -1.0
" An emergency opt out option could be made available to families who can give reasonable justification for why their family member would be opposed to donation, in the event of their unexpected/ untimely death.", " We should have an opt-out system for organ donation.", 1.0
" There is high support amongst civilians for opt-out organ donation schemes.", " We should have an opt-out system for organ donation.", 1.0
" Anyone opposed, either for religious or other purposes, would have an easy way to opt out.", " We should have an opt-out system for organ donation.", 1.0
" The family of the deceased could get an emotional benefit from choosing to donate organs, which an opt-out program would not allow for.", " We should have an opt-out system for organ donation.", -1.0
" An automatic opt-in organ-donor register would mean a large increase in individual organ data on numerous healthcare databases. This could pose great risk to privacy and security.", " We should have an opt-out system for organ donation.", -1.0
" The government does not own anyone. Your body is yours.", " We should have an opt-out system for organ donation.", -1.0
" When we die, we no longer need our organs. Depriving the living of something that the dead could provide and no longer need is, practically speaking, illogical.", " We should have an opt-out system for organ donation.", 1.0
" 82% of people support organ donation, with only 37% listed on the register;this will even the disparity.", " There is high support amongst civilians for opt-out organ donation schemes.", 1.0
" The same situation should occur in the current opt-in schema, yet it seems to be working alright", " Possibility for ethical issues for medical personnel, for example in an instance where potentially not reviving a patient with viable/donate-able organs would benefit other patients waiting for compatible organ donation.", -1.0
" An opt-out system is not forcing anybody to donate, you can still claim ownership over your body and opt-out if you dont want to donate.", " The government does not own anyone. Your body is yours.", -1.0
" The benefits of organ donations are in saving the life of another. This is what families should gain emotional benefit from, not from their sense of altruism.", " The family of the deceased could get an emotional benefit from choosing to donate organs, which an opt-out program would not allow for.", -1.0
" Opt-out schemes do not always work.", " Fewer people would pass away because they couldnt get a vital organ in time.", -1.0
" This can be easily averted by announcing the opt-out system well in advance of it entering into force, and by public information/education messages. That way everyone has the chance to opt-out before they are automatically opted in.", " Someone who is opposed may pass away before having the opportunity to opt out (unexpected or untimely death).", -1.0
" Different religions have a plethora of different beliefs regarding organ donation, all of which can be accommodated with an opt-out system.", " Anyone opposed, either for religious or other purposes, would have an easy way to opt out.", 1.0
" With the same logic performing a post mortem would also need to be considered the same.", " Using parts of a recently deceased persons body without their, or their familys, explicit consent could easily be considered desecration of a corpse.", -1.0
" Family refusal is currently the “biggest obstacle to donation”, says the NHS. Around 91% of families agree to organ donation if their relative is on the organ donation register (ODR). However, when patients are not on the ODR then 47% of families say no to a donation.", " The family of the deceased could get an emotional benefit from choosing to donate organs, which an opt-out program would not allow for.", -1.0
" Organ recipients would have shorter waiting lists.", " Fewer people would pass away because they couldnt get a vital organ in time.", 1.0
" For opt-in by default to be morally acceptable, there would have to be a near certainty that every person that could be affected by this had actually made a conscious choice regarding the matter.", " Someone who is opposed may pass away before having the opportunity to opt out (unexpected or untimely death).", 1.0
" Medical personnel does not have access to the information whether the patient is or isnt an organ donor prior to the patient being declared brain dead, thus eliminating the possibility of mistreatment of such patient.", " Possibility for ethical issues for medical personnel, for example in an instance where potentially not reviving a patient with viable/donate-able organs would benefit other patients waiting for compatible organ donation.", -1.0
" If a deceased family member was opposed to donation, they would have said so prior to death. Assuming the opinions of a dead person is bizarre, particularly if their action or lack of action indicates a different opinion.", " An emergency opt out option could be made available to families who can give reasonable justification for why their family member would be opposed to donation, in the event of their unexpected/ untimely death.", -1.0
" Even with wide reaching information campaigns, there is the risk that some people opposed to donating organs will not realise they are opted in.", " Anyone opposed, either for religious or other purposes, would have an easy way to opt out.", -1.0
" Even with wide reaching information campaigns, there is the risk that some people opposed to donating organs will not realise they are opted in.", " This can be easily averted by announcing the opt-out system well in advance of it entering into force, and by public information/education messages. That way everyone has the chance to opt-out before they are automatically opted in.", -1.0
" Bodily autonomy, by definition, ends at the point of death.", " This is an infringement of bodily autonomy.", -1.0
" Bodily autonomy, by definition, ends at the point of death.", " The government does not own anyone. Your body is yours.", -1.0
" There is a shortage of organ donations in most countries.", " Fewer people would pass away because they couldnt get a vital organ in time.", 1.0
" Many people who might want to donate simply forget to sign up.", " There is high support amongst civilians for opt-out organ donation schemes.", 1.0
" Desecration assumes something is sacred. In a secular state there should be no obligation to legally uphold the status of sacred.", " Using parts of a recently deceased persons body without their, or their familys, explicit consent could easily be considered desecration of a corpse.", -1.0
" Such difficult issues cannot be fairly decided by popularity.", " There is high support amongst civilians for opt-out organ donation schemes.", -1.0
