premise, conclusion, weight
"Des femmes sont voilées et épanouies", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
"Les femmes voilées sont déjà bien assez opprimées et stigmatisées pour qu'on ne leur ajoute pas une autre oppression", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
"On ne peut pas être féministe et défendre le voile", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
"Le voile n'est qu'un vêtement comme un autre", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
"Les femmes qui refusent de porter le voile sont brimées et opprimées", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
"Le voile est le signe visible que les femmes voilées sont la propriété de leur mari", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" La tranquillité apportée par le voile islamique n'est ni l'égalité, ni l'émancipation", " Le voile islamique protège les femmes des pressions exercées par les hommes", -1.0
" Prétendre que le féminisme est compatible avec le voile est un sophisme", " On peut être féministe et voilée", -1.0
" Pour affirmer que le voile islamique libère, il faut refuser de voir la situation des femmes voilées dans des pays comme l'Iran ou l'Afghanistan", " Il y a des usages contestataires et émancipateurs du voile islamique", -1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " Les femmes doivent pouvoir être libres de porter le voile islamique car elles doivent pouvoir disposer librement de leur corps", -1.0
" En Iran, les femmes ne se battent pas contre le voile mais contre l'obligation de le porter", " Des femmes se battent au péril de leur vie dans le monde pour ne pas porter le voile", -1.0
" La religion est bien plus prescriptive que la mode ou la domination masculine", " Le voile islamique n'est pas plus oppressif que bien d'autres vêtements", -1.0
" De nombreuses femmes voilées réinventent le sens de leur voile", " Le voile islamique assigne aux femmes le rôle de reproductrices et de mères au foyer", -1.0
" Porter le voile relève de la liberté religieuse", " La gauche doit-elle défendre le port du voile islamique ?", 1.0
" La question du voile est utilisée à des fins de division et de diversion", " La gauche doit-elle défendre le port du voile islamique ?", 1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " La gauche doit-elle défendre le port du voile islamique ?", -1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " Porter le voile relève de la liberté religieuse", -1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " On peut être féministe et voilée", -1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", " On ne peut pas comparer la situation des femmes voilées en France et dans les pays musulmans", -1.0
" On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", " La gauche doit-elle défendre le port du voile islamique ?", -1.0
" Les femmes doivent être libres de s'habiller comme elles le souhaitent", " La gauche doit-elle défendre le port du voile islamique ?", 1.0
" Les femmes voilées sont déjà bien assez stigmatisées dans la société française", " La gauche doit-elle défendre le port du voile islamique ?", 1.0
"Les musulmans font l'objet de racisme et de discriminations", " Les femmes voilées sont déjà bien assez stigmatisées dans la société française", 1.0
" Le voile islamique protège les femmes des pressions exercées par les hommes", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Le voile islamique protège les femmes des pressions exercées par les hommes", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
"Des femmes sont voilées et épanouies", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Le voile islamique assigne aux femmes le rôle de reproductrices et de mères au foyer", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" Le voile islamique assigne aux femmes le rôle de reproductrices et de mères au foyer", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
"Le voile est le signe visible que les femmes voilées sont la propriété de leur mari", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" On ne peut pas simplement penser en termes de liberté individuelle sur la question du voile", " Les femmes doivent pouvoir être libres de porter le voile islamique car elles doivent pouvoir disposer librement de leur corps", -1.0
" On ne peut pas simplement penser en termes de liberté individuelle sur la question du voile", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" Le port du voile islamique n'est pas une question de liberté individuelle mais de libertés collectives", " La majorité des femmes choisissent librement de porter le voile islamique", -1.0
" Le port du voile islamique n'est pas une question de liberté individuelle mais de libertés collectives", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" Le voile islamique fait des femmes des objets sexuels", " Le voile islamique protège les femmes des pressions exercées par les hommes", -1.0
" Le voile islamique fait des femmes des objets sexuels", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" Le voile islamique fait des femmes des objets sexuels", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" Que des femmes choisissent de se voiler n'est que l'acceptation d'une oppression", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" Que des femmes choisissent de se voiler n'est que l'acceptation d'une oppression", " La majorité des femmes choisissent librement de porter le voile islamique", -1.0
" La campagne contre le voile islamique sert à nous détourner des problèmes sociaux", " La question du voile est utilisée à des fins de division et de diversion", 1.0
" La gauche doit être à la pointe du combat pour l'émancipation des femmes", " On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", 1.0
" Il n'existe pas de loi contre le port de la djellabah, de la barbe islamique ou de la kamis", " Les femmes voilées sont déjà bien assez stigmatisées dans la société française", 1.0
" Des femmes se battent au péril de leur vie dans le monde pour ne pas porter le voile", " On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", 1.0
"Le voile n'est qu'un vêtement comme un autre", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", 1.0
"Les femmes voilées sont déjà bien assez opprimées et stigmatisées pour qu'on ne leur ajoute pas une autre oppression", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Le voile islamique prône la honte et la culpabilité des femmes", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" Le voile islamique prône la honte et la culpabilité des femmes", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", 1.0
" On ne peut pas condamner le port du voile islamique dans le monde et le défendre en France", " On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", 1.0
" Il y a des usages contestataires et émancipateurs du voile islamique", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Il y a des usages contestataires et émancipateurs du voile islamique", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Les défenseurs du voile islamique en France encouragent la répression des femmes non voilées dans les dictatures islamiques", " Les femmes doivent pouvoir être libres de porter le voile islamique car elles doivent pouvoir disposer librement de leur corps", -1.0
" Les défenseurs du voile islamique en France encouragent la répression des femmes non voilées dans les dictatures islamiques", " Les femmes doivent être libres de s'habiller comme elles le souhaitent", -1.0
" Les défenseurs du voile islamique en France encouragent la répression des femmes non voilées dans les dictatures islamiques", " On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", 1.0
" La question du voile islamique est une obsession française", " La question du voile est utilisée à des fins de division et de diversion", 1.0
"Des femmes se battent en France pour ne pas le porter", " On doit être solidaire des femmes qui se battent pour ne pas porter le voile islamique", 1.0
" Le voile islamique n'est pas plus oppressif que bien d'autres vêtements", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Le voile islamique n'est pas plus oppressif que bien d'autres vêtements", " Le voile islamique est la marque concrète de l'oppression des hommes sur les femmes", -1.0
" Contrairement aux femmes voilées, personne ne dénonce l'oppression des religieuses catholiques", " Les femmes voilées sont déjà bien assez stigmatisées dans la société française", 1.0
