premise,conclusion,weight
" To argue that would be to argue that the Conservatives at the time, who clearly never intended the result to go for leave, deceived those people into voting for them, only to have that spectacularly backfire on them.", " You could argue that the conservatives only went into power due to the manifesto pledge as they attracted many votes that would of gone to UKIP and other parties otherwise. Due to what for those voters was a main pledge. for example: 2015 Party polling", -1.0
" It is impossible to second-guess the motivations for voting on a manifesto that included a large number of promises, some of them contradictory.", " You could argue that the conservatives only went into power due to the manifesto pledge as they attracted many votes that would of gone to UKIP and other parties otherwise. Due to what for those voters was a main pledge. for example: 2015 Party polling", -1.0
" That argument would suggest that the Conservatives took a cynical gamble to scoop up ukip votes in a tight election by promising something they never intended to see through and that, without such a dishonest and reckless move, they would have not secured a majority and there would have been a coalition or hung parliament.", " You could argue that the conservatives only went into power due to the manifesto pledge as they attracted many votes that would of gone to UKIP and other parties otherwise. Due to what for those voters was a main pledge. for example: 2015 Party polling", 1.0
" Political unity is a more effective defence against weaponised disinformation and is the target of such attacks.", " With atomic weapons being neutralised by Mutually Assured Destruction, pending the development of alternative destructive or protective technology, some nations have weaponised disinformation, arguably a far more dangerous weapon.", 1.0
" No one other than UK PM or Taoiseach has authority to make such decisions, and neither May nor Varadkaw would be keen to do it as this would entail political suicide.", " Assuming “a need” for a hard border - no one would dare construct it or police it.", 1.0
" Before the UK joined the EU it was the sick man of Europe, therefore conditions before the UK joined the EU were not good as people referred to in the parent claim have themselves claimed.", " This is illustrated by the fact that Britains state in polls that life before the EU was better - which is when Britain still had an Empire.", 1.0
" The EU (as an institution) does not have the power or prerogative to construct border infrastructure or police the borders of its member states.", " Assuming “a need” for a hard border - no one would dare construct it or police it.", 1.0
" The UKs relations with the EU were one of the most prominent topics during the run-up to the election. This makes it reasonable to believe that the parties positions on the issue and the referendum were important.", " The commitment to the referendum is on page 73 of an 81 page manifesto and two of the pages after it are pictures of children and one is big Dave Cameron himself. Its fair to say it was not a central plank of the manifesto and it is impossible to determine how much influence it had in peoples voting choices.", -1.0
" You could argue that the conservatives only went into power due to the manifesto pledge as they attracted many votes that would of gone to UKIP and other parties otherwise. Due to what for those voters was a main pledge. for example: 2015 Party polling", " The commitment to the referendum is on page 73 of an 81 page manifesto and two of the pages after it are pictures of children and one is big Dave Cameron himself. Its fair to say it was not a central plank of the manifesto and it is impossible to determine how much influence it had in peoples voting choices.", -1.0
" It is not for parliament to change their role.", " When Parliament put the decision to the people via a referendum, and the way in which they have continued to act they have changed their role from a representative to a delegate.", -1.0
" Political unity achieved via diplomacy does not rely on a technological stalemate.", " The idea that atomic weapons make us safer relies upon deterrence theory and Mutually Assured Destruction. Since both the US and Russia have at some point or are still working on means to eliminate the balance of power, it is not atomic weapons that have made war less likely, but the lack of technological progress in developing superior weapons systems.", 1.0
" Social media is not the only way that a vote could be meddled with.", " Research from Oxford University has shown that there was no significant Twitter activity from Russia with an eye on the 2016 referendum.", -1.0
" There are prominent arguments that Mutually Assured Destruction is incredibly risky, a form of psychological terrorism against a states own civilian population and completely insane.", " A prominent argument in the academic field of International Relations is that the presence of nuclear weapons makes the prospect of war so terrible that it deters conflict. Following that logic, nuclear weapons are a guarantor of peace.", -1.0
" The Common Travel Area began in 1923, the year after the Republic of Ireland seceded from the UK. The EU didnt start to come together until 1951.", " The border with Ireland did not come about because of the EU.", 1.0
" There is no general perception, neither by the public nor by policy makers in other countries, that the US is out of control.", " To be deterred from using nuclear weapons, enemies need to be genuinely concerned that the other side is crazy enough to use theirs. In order for deterrence to work, the US would need to deliberately portray elements of its government as out of control in order to create fear and uncertainty in its political rivals.", -1.0
" UK citizens oversees, many of them in Europe, were not considered eligible to vote.", " The electorate that did not vote were entitled to vote but did not so. It should be assumed that those who did not vote chose to abstain rather than assume they would have voted one way or another if forced to vote.", -1.0
" Neither have been able to actually agree how to avoid a hard border.", " Both the EU and UK have explained their willingness to make a deal and avoid a hard border.", -1.0
" Philip Hammond, the current chancellor, continues to reiterate Osbornes warnings in 2018 following the announcement of Mays deal that an emergency budget will probably be required if we the UK leaves the EU without a deal.", " For instance, George Osborne insisted that there would be an emergency budget if Leave won, which was never fulfilled.", -1.0
" There is no way for the public to tell whether or not the US is actually out of control - and if it is, then it is, by definition extremely dangerous.", " To be deterred from using nuclear weapons, enemies need to be genuinely concerned that the other side is crazy enough to use theirs. In order for deterrence to work, the US would need to deliberately portray elements of its government as out of control in order to create fear and uncertainty in its political rivals.", 1.0
" The link in the parent claim lists five causes of a reduction in violence, none of which are nuclear weapons.", " The number of conflicts between states has been declining (p. 2) throughout the decades since the introduction of nuclear weapons.", -1.0
" There are a number of barriers for EU nationals to become British citizens, one of them, being that the cost of an application for British nationality is out of reach for many EU nationals.", " If eligible EU nationals wanted to vote in the referendum, they should have acquired British citizenship, as they were entitled to.", -1.0
" After the Irish Civil War, the CTA Agreement was complemented by the 1952 Agreement, when all immigration controls were removed, removing the border. But Ireland didnt join the EU until 1973.", " The border with Ireland did not come about because of the EU.", 1.0
" There is a difference between correlation and causation.", " The number of conflicts between states has been declining (p. 2) throughout the decades since the introduction of nuclear weapons.", -1.0
" Deterrence is a theory only.", " A prominent argument in the academic field of International Relations is that the presence of nuclear weapons makes the prospect of war so terrible that it deters conflict. Following that logic, nuclear weapons are a guarantor of peace.", -1.0
" Assuming “a need” for a hard border - no one would dare construct it or police it.", " As long as the UK leaves the single market and abandons free movement, which the UK government has stated it intends on doing, then a hard border will be required.", -1.0
" Current relations are said to be at their worst since the second World War.", " America and China are currently engaged in a trade war.", 1.0
" This is illustrated by the fact that Britains state in polls that life before the EU was better - which is when Britain still had an Empire.", " This overtly optimistic idea about the UKs leverage in trade negotiations may be a product of the longing for a past in which the country had more weight, for example as a colonial power.", 1.0
" No country in the EU can require its businesses to be resilient to leaving the EU. If it was even legally possible to do so, those businesses would move elsewhere via the same freedoms the EU allows. Nobody told the EU that making sure an economic union remained voluntary was easy.", " One cannot expect the same benefits of the EU while being outside of the EU. If a country can fall apart so easily (economically) then this is the fault of the country at hand.", -1.0
" The commitment to the referendum is on page 73 of an 81 page manifesto and two of the pages after it are pictures of children and one is big Dave Cameron himself. Its fair to say it was not a central plank of the manifesto and it is impossible to determine how much influence it had in peoples voting choices.", " The Ruling Partys manifesto pledged to respect the result of the referendum (p. 73). Supposedly, this refers to an intention to implement the popular preference.", -1.0
