key, n_sentences, n_pro_relations, n_cons_relations, avg_out_pro_deg, avg_out_cons_deg, max_out_pro_deg, max_out_cons_deg, avg_in_pro_deg, avg_in_cons_deg, max_in_pro_deg, max_in_cons_deg, avg_depth, max_depth, min_label_size, avg_label_size, max_label_size, min_descr_size, avg_descr_size, max_descr_size
"wd17", 7, 6, 0, 0.8571428571428572, 0.0, 1, 0, 0.8571428571428572, 0.0, 4, 0, 1.1428571428571428, 2, 18, 44.714285714285715, 61, 0, 921.4285714285713, 5615
"wd18", 25, 7, 18, 0.27999999999999997, 0.72, 1, 1, 0.28, 0.72, 7, 4, 1.4799999999999998, 2, 21, 47.00000000000001, 91, 0, 79.56000000000002, 1346
"wd19", 117, 59, 60, 0.5042735042735044, 0.5128205128205129, 1, 3, 0.5042735042735043, 0.5128205128205128, 15, 6, 2.982905982905984, 5, 0, 50.46153846153846, 155, 0, 520.8974358974357, 51497
"wd20", 33, 15, 23, 0.4545454545454544, 0.6969696969696969, 1, 2, 0.45454545454545453, 0.6666666666666666, 5, 3, 2.0606060606060614, 3, 34, 79.60606060606061, 115, 0, 61.54545454545455, 1845
"wd21", 175, 121, 68, 0.6914285714285713, 0.38857142857142835, 3, 2, 0.6914285714285715, 0.38857142857142857, 8, 10, 2.8000000000000007, 7, 27, 75.2571428571429, 170, 0, 4.977142857142854, 85
"wd22", 26, 13, 12, 0.5, 0.4615384615384615, 1, 1, 0.5, 0.46153846153846156, 13, 12, 0.9615384615384616, 1, 21, 57.46153846153848, 105, 0, 2.0769230769230766, 36
"wd23", 63, 37, 47, 0.5873015873015875, 0.7460317460317457, 2, 5, 0.5714285714285715, 0.7460317460317458, 7, 7, 2.317460317460318, 4, 33, 77.71428571428571, 145, 0, 5.047619047619046, 36
"wd24", 189, 62, 148, 0.32804232804232825, 0.7830687830687825, 3, 2, 0.3015873015873014, 0.7513227513227512, 6, 5, 2.55026455026455, 4, 15, 59.84656084656086, 157, 0, 376.9153439153437, 6744
"wd25", 189, 62, 148, 0.3280423280423281, 0.7830687830687831, 3, 2, 0.2962962962962962, 0.756613756613757, 6, 6, 2.55026455026455, 4, 15, 59.841269841269856, 157, 0, 376.91534391534384, 6744
"wd26", 22, 8, 13, 0.36363636363636365, 0.5909090909090909, 1, 1, 0.36363636363636365, 0.5909090909090909, 5, 6, 1.4545454545454546, 3, 42, 65.9090909090909, 103, 6, 68.54545454545453, 515
