n1,n2,weight
0,1,1.0
2,1,1.0
3,1,1.0
4,1,1.0
5,6,-0.5
7,8,1.0
9,10,1.0
11,10,1.0
12,10,-1.0
13,14,1.0
15,16,1.0
17,16,-1.0
18,19,0.0
20,19,0.0
21,19,0.0
22,19,0.0
23,19,0.0
24,19,0.0
25,19,0.0
16,19,0.0
26,19,0.0
27,19,0.0
1,19,0.0
28,19,0.0
29,19,0.0
10,19,0.0
30,19,0.0
31,19,0.0
32,19,0.0
33,19,0.0
34,19,0.0
35,19,0.0
36,37,-0.5
38,39,-0.5
40,2,1.0
41,42,1.0
43,44,1.0
45,46,1.0
47,48,-1.0
49,50,1.0
51,50,1.0
52,53,-1.0
54,55,-0.5
56,57,1.0
58,59,-0.5
60,61,-0.5
57,23,1.0
62,23,1.0
63,64,1.0
37,65,-1.0
66,67,1.0
50,68,1.0
69,32,1.0
70,32,1.0
71,32,1.0
72,69,-0.5
73,74,1.0
75,74,1.0
76,74,-1.0
77,9,1.0
78,79,-1.0
80,81,-1.0
82,81,-1.0
83,30,-0.5
84,30,1.0
85,18,1.0
86,87,-1.0
88,89,1.0
90,91,1.0
92,93,-0.5
94,75,-0.5
95,96,1.0
48,96,1.0
97,11,1.0
98,11,-1.0
87,11,-0.5
99,13,-0.5
100,94,-1.0
101,102,-1.0
79,15,-0.5
103,104,-1.0
105,104,1.0
104,106,1.0
65,106,1.0
107,20,1.0
108,20,-1.0
109,20,-1.0
110,20,-1.0
111,20,1.0
112,77,1.0
113,114,1.0
115,114,1.0
116,114,1.0
117,118,1.0
119,120,-0.5
14,25,1.0
121,25,-1.0
122,25,-1.0
55,25,-1.0
123,25,1.0
124,21,1.0
125,21,-0.5
126,107,1.0
127,5,1.0
128,47,-0.5
129,56,1.0
130,131,1.0
132,126,-0.5
120,133,-1.0
134,133,1.0
135,49,-0.5
136,137,-0.5
106,31,1.0
64,88,1.0
93,138,1.0
139,22,1.0
140,22,1.0
81,22,1.0
141,35,1.0
142,113,1.0
138,83,1.0
39,83,-1.0
143,115,-0.5
144,145,-1.0
146,29,-0.5
147,29,-0.5
148,29,1.0
149,29,-1.0
44,143,-1.0
150,62,-0.5
151,152,-0.5
61,153,-1.0
154,26,1.0
74,26,1.0
155,26,1.0
59,26,1.0
156,141,-1.0
102,157,-1.0
42,34,1.0
158,34,1.0
152,71,-1.0
159,160,1.0
161,110,-0.5
153,70,1.0
89,28,1.0
46,28,1.0
8,28,1.0
162,28,1.0
96,24,1.0
133,24,1.0
163,155,1.0
164,155,1.0
165,166,1.0
167,100,1.0
118,80,-0.5
168,27,1.0
169,27,1.0
170,4,-1.0
67,17,-0.5
171,0,1.0
172,0,1.0
173,0,1.0
174,169,-1.0
114,156,-0.5
175,142,-0.5
176,45,1.0
166,154,1.0
160,33,-0.5
131,33,1.0
177,33,-1.0
137,33,-1.0
178,33,1.0
179,103,-0.5
180,162,1.0
6,76,-1.0
53,158,-0.5
157,158,-0.5
181,151,1.0
182,41,1.0
183,84,-0.5
145,124,-0.5
68,150,-1.0
184,150,-1.0
91,177,-0.5
