n1,n2,weight
0,1,-1.0
2,1,-1.0
3,4,-0.5
5,6,1.0
7,8,-0.5
9,10,0.0
11,10,0.0
12,10,0.0
13,10,0.0
14,10,0.0
15,10,0.0
16,10,0.0
8,10,0.0
17,10,0.0
6,7,1.0
18,19,-1.0
20,19,-1.0
21,22,-1.0
23,14,1.0
24,23,-0.5
25,23,-1.0
22,20,-0.5
26,27,-0.5
28,29,-1.0
30,29,-0.5
31,9,-1.0
4,9,-1.0
32,9,-1.0
33,9,1.0
34,18,-1.0
35,16,-1.0
36,16,-0.5
37,16,1.0
38,12,-1.0
29,12,1.0
39,13,-0.5
40,2,-1.0
41,42,-1.0
43,42,-0.5
44,36,-1.0
45,33,-1.0
46,34,-1.0
42,17,1.0
47,48,-1.0
49,3,-1.0
50,51,-1.0
1,32,1.0
52,32,-0.5
19,32,-0.5
53,15,-1.0
54,15,1.0
55,31,1.0
27,31,1.0
56,52,-1.0
57,0,-0.5
58,50,-1.0
51,45,-0.5
48,45,-0.5
59,46,-0.5
