n,url,label
0,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33381&level=1","Hay representantes distritales vinculados a subpoblaciones de dimensión moderada y accesible en ausencia de grandes capitales para publicidad."
1,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33380&level=1","La población de los países ya no es de las dimensiones que era al plantearse el sistema."
2,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33383&level=1","Una subpoblación podría buscar separarse y lograr su independencia."
3,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33370&level=1","Están en marcha medidas muy efectivas contra el cambio climático como:0) El impuesto a la polución.1) La transición a la fisión nuclear.2) La electrificación del transporte.3) La ingeniería en la industria alimenticia y el cambio de dieta."
4,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33366&level=1","El efecto invernadero es conocido desde mediados de los 90 del siglo XX, y los gobiernos han fracasado en abordar medidas adecuadas para el cambio climático."
5,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28385&level=1","Tomando como verdad que todo tiene una función especifica en la naturaleza, y puesto que la necesidad de descubrir en cierto punto no es útil para la supervivencia de la especie, podemos pensar que investigar a fondo todos los campos de la ciencia podría brindarnos una respuesta, el propósito"
6,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28384&level=1","Nuestro instinto nos conduce a esta idea, ya que la acción de descubrir nos da felicidad, físicamente hablando libera neurotransmisores que nos hacen sentir felices.La investigación satisface nuestro deseo de descubrir, pero no nos es útil para la subsistencia de la especie (no a priori)"
7,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion?partial=28383&level=1","Como sociedad tendemos al avance tecnológico y científico, expandimos nuestras fronteras de investigación, sin embargo el propósito de este comportamiento, el cual existe en nuestra individualidad, es un tanto incierto."
8,"el-objetivo-de-nuestra-especie-podria-ser-la-investigacion","El objetivo de nuestra especie podría ser la investigación"
9,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales","El sistema democrático representativo es capaz de proveer solución a todos los desafíos existenciales sociales"
10,"None",""
11,"la-renta-basica-universal-incondicional-es-aplicable-en-espana","La Renta Básica Universal Incondicional es aplicable en España"
12,"hay-vida-despues-de-la-muerte","Hay vida después de la muerte"
13,"la-lectura-es-una-actividad-que-requiere-esfuerzo-y-concentracion","La lectura es una actividad que requiere esfuerzo y concentración"
14,"vivir-es-ir-perdiendo-terreno","Vivir es ir perdiendo terreno."
15,"la-tierra-es-plana","La tierra es plana"
16,"el-sentido-de-la-vida-es-42","El sentido de la vida es 42"
17,"la-accion-colectiva-esta-orientada-por-relaciones-sociales","La acción colectiva esta orientada por relaciones sociales"
18,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33386&level=1","Si el capital se hereda, su vínculo con un carácter meritorio se elimina."
19,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33385&level=1","Quién controla un gran capital posee un carácter meritorio que lo produjo y por ende quedaria mitigada la posibilidad del poder en manos de extremadamente ineptos."
20,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33388&level=1","Históricamente ha ocurrido que aquel mérito no se debe a un carácter progresista si no violento. Quienes se quedaban con el capital eran familias vinculadas a ejércitos conquistadores.O familias vinculadas a políticos corruptos."
21,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33390&level=1","Por más que el poder político se encuentre indebidamente localizado en carácter transitorio, el resto de la civilización no tiene por qué transcurrir su existencia experimentando un mundo gobernado por ineptos de turno (ya sean de 3ra generacion o nuevos, la rotación no es relevante)."
22,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33389&level=1","Se ha estudiado que en promedio las riquezas familiares perduran por 3 generaciones y luego se diluyen."
23,"vivir-es-ir-perdiendo-terreno?partial=30864&level=1","A partir del nacimiento, vamos perdiendo terreno ante la amenaza de la muerte."
24,"vivir-es-ir-perdiendo-terreno?partial=30865&level=1","¿Podríamos preguntarnos si gana terreno la muerte o pierde terreno la vida?"
25,"vivir-es-ir-perdiendo-terreno?partial=30866&level=1","¿Quién puede demostrar que no se trata de un progreso?"
26,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33377&level=1","Está motivación podría modulares a partir de la propagación de nuevos modos y modas."
27,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33378&level=1","Las personas llegan a un punto de su vida donde buscan satisfacer sus requerimientos sociales a partir de la gestación de su propia familia en lugar de buscar satisfacer el requerimiento en vínculos con humanos preexistentes."
28,"hay-vida-despues-de-la-muerte?partial=28380&level=1","Es algo complejo de acatar, los procesos mentales dejan de existir al momento de la muerte, y esto es un argumento en contra de la premisa. Por otra parte no existe evidencia que avale o desacredite la existencia de un espiritu etereo, y como no existe forma de demostrarla, es absurdo investigar"
29,"hay-vida-despues-de-la-muerte?partial=28379&level=1","Sigues siendo parte de la vida de otros organismos."
30,"hay-vida-despues-de-la-muerte?partial=33185&level=1","Depende de si hablamos de nuestra vida o de la de los demás (¿los gusanos que te comen cuando mueres?)"
31,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33375&level=1","Los desafíos de sustentabilidad de la humanidad son la otra cara de la moneda de un crecimiento poblacional a velocidad excesiva. Y las únicas sociedades que controlaron eficientemente sus nivel de población, lo hicieron no en democracia si no en tiranías o dictaduras militares."
32,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33379&level=1","A pesar de las redes sociales, las campañas políticas que permiten hacerse con el poder requieren un gasto enorme de dinero en campaña publicitaria."
33,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33365&level=1","Ante los desafíos, el sistema aparentemente posee canales para que la población promueva una reacción que involucre al gobierno."
34,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33387&level=1","Se podría implementar un impuesto a la herencia que filtre la formación de dinastías."
35,"el-sentido-de-la-vida-es-42?partial=29437&level=1","El número solo es de un libro de fantástica. No representa la realidad."
36,"el-sentido-de-la-vida-es-42?partial=28375&level=1","42 puede ser malinterpretado."
37,"el-sentido-de-la-vida-es-42?partial=29436&level=1","Seis por siete es 42."
38,"hay-vida-despues-de-la-muerte?partial=29438&level=1","No hay pruebas que la vida después de la vida se existe. Por lo tanto no hay razón para creerla."
39,"la-lectura-es-una-actividad-que-requiere-esfuerzo-y-concentracion?partial=30658&level=1","La formación y la práctica continuada pueden transformar estos en disfrute y delectación"
40,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33384&level=1","Las leyes de los países les permiten actuar con violencia de fuerzas armadas para reprimir el separatismo."
41,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=26001&level=1","No es un fenomeno empirico unitario"
42,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=26000&level=1","depende de intensiones, recursos y limites"
43,"la-accion-colectiva-esta-orientada-por-relaciones-sociales?partial=28382&level=1","La premisa no es aplicable a la totalidad, sino a un porcentaje de la población, esto ademas es muy relativo puesto que depende de a que poblacion estamos referenciando, la cultura y el nivel promedio de la poblacion es un factor muy importante"
44,"el-sentido-de-la-vida-es-42?partial=28381&level=1","Necesitarias argumentar tu posición de forma extensa"
45,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33367&level=1","Cualquier acción requiere convencer a una gran fracción de la población, o a integrantes de la clase política."
46,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33391&level=1","La idea de heredar al estado a la vez que este es percibido como un ente corrupto, ineficiente, produce o desmotivación en la producción de riqueza o por el contrario la emergencia de maniobras evasivas de la ley."
47,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33372&level=1","Las redes sociales plantean la posibilidad de propagar masivamente ideas en ausencia de un soporte masivo de capital."
48,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33368&level=1","La población es muy susceptible a la influencia de los medios masivos de comunicación que son empresas con fines de lucro bajo control de grandes capitales."
49,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33371&level=1","Llegan tarde y avanzan lento"
50,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33373&level=1","Internet provee herramientas para que los legisladores no sean más que transmisores de resoluciones obtenidas a partir de plataformas digitales de accesibilidad masiva y transformar el sistema en una gran democracia directa mediada por internet."
51,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33369&level=1","La clase política persigue aprobación popular en busca de votos o puede arreisgarse accionando contrario a la opinión de su base de votantes si recibiera un soborno."
52,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33393&level=1","Hay límites en cuanto a lo que una publicidad pagada puede lograr. La gente no es tan inducible."
53,"la-tierra-es-plana?partial=29439&level=1","El experimento del griego antiguo Eratosthenes demostró, usando las sombras de ramas a lugares diferentes en la tierra, que el mundo no es plano."
54,"la-tierra-es-plana?partial=28377&level=1","Muchos experimentos demuestran la falta de curvatura de la tierra."
55,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33376&level=1","La idea del control poblacional es muy antipatica.Al ser antipática es difícil de propagar o inducir."
56,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33394&level=1","La publicidad y la manipulación funcionan muy eficientemente.Caso contrario las empresas no resignation miles de millones, o una fracción muy importante de sus ingresos en publicidad. No existiría esa erogación si no hubiera un vínculo causa efecto real, medible, cuantificable."
57,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33382&level=1","Sigue habiendo un gobierno central que determina el rumbo."
58,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33374&level=1","Las redes sociales plantean la posibilidad de propagar ideas en ausencia del soporte de grandes capitales."
59,"el-sistema-democratico-representstivo-es-capaz-de-proveer-solucion-a-todos-los-desafios-existenciales-sociales?partial=33392&level=1","Se podría llegar a un equilibrio permitiendo un monto máximo heredable y el resto permitir delegar lo en fundaciones con objetivos que no planteen conflictos con los humanos supervivientes al heredador."
