n1,n2,weight
0,1,1.0
2,3,-0.5
4,3,-0.5
5,3,-0.5
6,3,-1.0
7,8,-0.5
9,10,1.0
11,10,1.0
12,10,-1.0
13,10,-1.0
14,15,0.0
16,15,0.0
17,15,0.0
18,15,0.0
19,15,0.0
20,15,0.0
21,15,0.0
10,15,0.0
22,15,0.0
23,15,0.0
3,15,0.0
24,25,-0.5
26,27,1.0
28,27,-1.0
29,30,-0.5
31,32,-1.0
33,34,-0.5
35,14,1.0
36,14,1.0
37,14,-0.5
38,14,-1.0
39,9,-0.5
40,9,1.0
41,42,-0.5
43,16,1.0
32,16,1.0
44,45,-0.5
27,21,1.0
46,21,1.0
47,21,-0.5
48,17,1.0
25,17,-1.0
49,50,-1.0
51,7,-1.0
52,18,1.0
53,18,-1.0
54,55,-1.0
56,52,-0.5
57,36,-1.0
55,36,-1.0
58,59,-1.0
8,22,-1.0
60,22,1.0
45,22,1.0
50,22,1.0
30,54,1.0
59,54,1.0
61,54,1.0
62,28,-1.0
63,28,1.0
34,35,-1.0
42,35,-1.0
1,20,1.0
64,20,-1.0
65,57,-0.5
