n,url,label
0,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31119&level=1","La pratique du « lancer de nain » réduit la personne lancée à un simple objet"
1,"il-faut-interdire-la-pratique-du-lancer-de-nain?partial=31118&level=1","La pratique du « lancer de nain » porte atteinte à la dignité de la personne lancée"
2,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20634&level=1","Plusieurs outils permettent de prendre des décision sur une formulation faite par des administrateurs"
3,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation","Il n&#39~existe pas d&#39~outils numérique permettant de créer un thème / problématique / question, de permettre à tous de particper et de mettre en avant les interventions les plus pertinentes puis de prendre des décisions à partir de toute la participation"
4,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20635&level=1","Baztille et Stig s'en aprochent mais à l'echelle d'un pays, pas pour un écosystème ou une organisation qui a besoin de son outil"
5,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20641&level=1","Il existe des outils permettant à 'certains' de faire cela.Ce 'certains' se caractérisent généralement par : une petite quantité de personnes, à l'aise avec les outils informatiques, prêtes à s'exprimer publiquement sur certains sujets.Manque donc : scalibilité, accessibilité, sécurité."
6,"il-nexiste-pas-doutils-numerique-permettant-de-creer-un-theme-problematique-question-de-permettre-a-tous-de-particper-et-de-mettre-en-avant-les-interventions-les-plus-pertinentes-puis-de-prendre-des-decisions-a-partir-de-toute-la-participation?partial=20733&level=1","Est-il indispensable qu'un même outil réunisse débat et prise de décision ?"
7,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20773&level=1","il n'y a pratiquement pas de trafic et si une personne qui s'intéresse aux commissions constitutions envoie un message, même vaguement pertinent, ça me semble plutôt un bien qu'un mal"
8,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20769&level=1","cette liste concerne surtout l'organisation et si les gens s'yinscrivent pour recevoir des informations, le jour où cette liste sera très utilisée pour notre organisation, la plupart des gens se sentiront spamés et voudront qu'on les désinscrive, en masse probablement."
9,"lapero-de-rentree-existe?partial=22819&level=1","Je suis dispo semaine prochaine. Mercredi pour ne pas changer les vieilles habitudes?"
10,"lapero-de-rentree-existe","l&#39~apéro de rentrée existe"
11,"lapero-de-rentree-existe?partial=22822&level=1","Fab, phil et yannick ont plussoyé"
12,"lapero-de-rentree-existe?partial=22849&level=1","Boris doit avoir une date pour s'organiser avec les autorités compétentes"
13,"lapero-de-rentree-existe?partial=23644&level=1","Tout ceci ressemble à un monologue."
14,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans","Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans."
15,"None",""
16,"en-grammaire-le-masculin-doit-etre-renomme-neutre","En grammaire, le «masculin» doit être renommé «neutre»."
17,"arguman-devrait-creer-un-espace-prive","Arguman devrait créer un espace privé"
18,"le-cafe-est-bon-pour-la-sante","Le café est bon pour la santé"
19,"les-relations-entre-les-hommes-sont-conflictuelles","Les relations entre les hommes sont conflictuelles"
20,"il-faut-interdire-la-pratique-du-lancer-de-nain","Il faut interdire la pratique du « lancer de nain »"
21,"lenfer-est-pave-de-bonnes-intentions","L&#39~enfer est pavé de bonnes intentions"
22,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique","La liste de discussion pour l&#39~organisation du processus constituant inter-ville doit être publique"
23,"creer-une-liste-de-diffusion-en-plus-de-la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville","Créer une liste de diffusion en plus de la liste de discussion pour l&#39~organisation du processus constituant inter-ville"
24,"arguman-devrait-creer-un-espace-prive?partial=33582&level=1","l'installation est difficile sans avoir un développeur expert à disposition, je sais, je l'ai essayé en suivant toutes les instructions méticuleusement, je n'ai pas encore réussi (mais je ne suis pas expert du sysadmin)"
25,"arguman-devrait-creer-un-espace-prive?partial=33526&level=1","Arguman est open source et peut-être téléchargé et installé librement sur un serveur web privé (liens dans la rubrique 'à propos' du site)"
26,"lenfer-est-pave-de-bonnes-intentions?partial=20605&level=1","Il est toujours compliqué de se mettre à la place de l’autre, d’adopter son point de vue, ses connaissances, sa sensibilité."
27,"lenfer-est-pave-de-bonnes-intentions?partial=20602&level=1","On observe dans le mouvement des personnes qui veulent imposer leur idées pour le bien commun, mais rompent le processus d'intelligence collective"
28,"lenfer-est-pave-de-bonnes-intentions?partial=20606&level=1","Faire avancer un mouvement qui ne sait pas ce qu’il veut, où il va, comment y aller, avec quels outils, avec qui, contre qui, etc. nécessite parfois des éléments « moteurs »."
29,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24772&level=1","S'ils ont déjà plus d'énergie à dépenser, ils sont donc déjà avantagés à l'embauche, nul besoin d'en rajouter."
30,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24750&level=1","Les jeunes sont dans la 'force de l'âge', et ont donc plus d’énergie à dépenser que leurs aînés."
31,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=33505&level=1","Le genre grammatical n'a aucun rapport avec le sexe d'un individu et ce caractère 'sexiste' n'existe pas en réalité"
32,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=27965&level=1","Cela retire le caractère sexiste inhérent au «masculin vs féminin», en définissant un genre neutre qui englobe tous les genres possibles et imaginables."
33,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24773&level=1","(réponse au sophisme)Merci de vous renseigner sur le système de retraite avant de signaler un sophisme : c'est un système par répartition, et pas par capitalisation."
34,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23640&level=1","C'est partir du principe que le système actuel de retraite prendra fin un jour."
35,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=21877&level=1","Les jeunes contribuent à fonds perdus, ne profiteront pas de la même retraite que leurs aînés. Il y a une rupture d'égalité générationnelle."
36,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=21878&level=1","Cela permettra de diminuer les charges, et de faciliter l'emploi des jeunes. (Environ 25% chez les moins de 25 ans)"
37,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24909&level=1","Cela impliquerait que les plus de 30 ans cotisent plus si l'on veut garder les retraites au même niveau."
38,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=33585&level=1","La cotisation retraite est une solidarité envers les ainés dans la réalité. On ne cotise pas pour soi mais pour les actuels retraités."
39,"lapero-de-rentree-existe?partial=22820&level=1","Certains travaillent le jeudi"
40,"lapero-de-rentree-existe?partial=22821&level=1","Plus personne ne va à myrys le mercredi soir"
41,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=24774&level=1","Il n'y a donc pas rupture d'égalité, parce qu'il n'y en a jamais eu. Toujours pas de sophisme ici.Vu autrement : les jeunes d'aujourd'hui, comme ceux d'avants, toucheront des retraites basées sur la productivité des jeunes."
42,"il-faudrait-supprimer-les-cotisations-retraites-pour-les-jeunes-de-moins-de-30-ans?partial=23641&level=1","Le concept de la retraite par répartition n'est pas d'atteindre une égalité générationnelle, mais de répartir une portion des richesses créées a destination des retaités. Les jeunes toucheront les retraites payées par les travailleurs du futur."
43,"en-grammaire-le-masculin-doit-etre-renomme-neutre?partial=27966&level=1","La règle «le masculin l'emporte sur le féminin» est remplacé par «dans l'indécision, utiliser le neutre»."
44,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20776&level=1","il y a finalement très peu d'informations pertinentes / utiles à retirerdes échanges sur la liste de discussion : c'est principalement les décisions et lasynthèse des arguments."
45,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20771&level=1","il n'y a rien à cacher."
46,"lenfer-est-pave-de-bonnes-intentions?partial=23645&level=1","Ce proverbe est une opposition à 'La fin justifie les moyens'. Un objectif aussi noble soit-il n'efface pas les actes qui pourraient être commis en son nom."
47,"lenfer-est-pave-de-bonnes-intentions?partial=27424&level=1","Y'a que ceux qui font rien qui font pas de bêtise."
48,"arguman-devrait-creer-un-espace-prive?partial=33363&level=1","cela permettra de faire des débats privés et/ou de se créer ses propres arbres d'argumentation afin d'améliorer notre esprit critique"
49,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20775&level=1","plus ces archives vont être volumineuses moins elles seront utilisables."
50,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20772&level=1","c'est le meilleur moyen pour un participant de regarder ce qui se passe sans avoir à s'abonner (grâce à l'accès aux archives publiques)"
51,"la-liste-de-discussion-pour-lorganisation-du-processus-constituant-inter-ville-doit-etre-publique?partial=20774&level=1","il est préférable de penser maintenant à une orga qui évite ceproblème plutôt que d'attendre qu'il y ait trop de monde sur la liste dediscussion car alors on aura des problèmes supplémentaires, du genre'comment faire migrer tant de personnes vers tel ou tel outil plusadapté ?'"
52,"le-cafe-est-bon-pour-la-sante?partial=29280&level=1","Le café contient de la caféine qui nous permet d'être plus productif"
