n1,n2,weight
0,1,1.0
2,3,1.0
4,5,1.0
6,7,-0.5
8,9,1.0
10,9,-1.0
11,9,-0.5
12,13,-1.0
14,13,-1.0
15,13,-0.5
9,13,1.0
16,13,-1.0
17,18,0.0
19,18,0.0
20,18,0.0
21,18,0.0
22,18,0.0
23,18,0.0
24,18,0.0
13,18,0.0
25,18,0.0
26,18,0.0
3,18,0.0
27,18,0.0
28,18,0.0
5,18,0.0
29,18,0.0
30,18,0.0
31,18,0.0
32,18,0.0
33,18,0.0
34,18,0.0
35,36,-1.0
37,36,-0.5
38,6,-1.0
39,22,1.0
40,22,-1.0
41,31,-1.0
42,31,-0.5
43,31,1.0
44,31,1.0
45,46,1.0
47,48,-0.5
49,48,-1.0
50,51,-1.0
52,53,-1.0
54,29,1.0
55,17,1.0
56,17,1.0
57,17,1.0
58,17,1.0
59,17,-1.0
60,61,1.0
62,14,1.0
63,44,-1.0
1,19,-0.5
64,19,1.0
65,19,-0.5
66,19,-0.5
67,19,1.0
68,4,-0.5
69,24,1.0
70,24,1.0
53,24,-1.0
36,24,1.0
71,20,1.0
72,20,-1.0
73,20,-1.0
74,75,-0.5
76,71,1.0
51,30,1.0
77,30,-1.0
78,62,1.0
79,21,1.0
80,34,1.0
81,34,-1.0
82,34,-0.5
83,55,1.0
61,12,1.0
84,72,-0.5
85,38,1.0
86,38,-0.5
87,25,1.0
88,25,-1.0
46,33,-1.0
89,33,-1.0
90,33,-1.0
91,90,-0.5
92,80,1.0
93,59,-0.5
94,89,-1.0
95,27,-0.5
96,27,1.0
97,27,1.0
7,27,-0.5
98,27,1.0
99,23,-1.0
100,26,1.0
48,67,-1.0
101,97,-0.5
102,94,-1.0
103,79,-1.0
75,69,-0.5
104,69,-1.0
105,82,-0.5
