n,url,label
0,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32922&level=1","Hayvanlar da güçlü bir konumda olduğunda insanların hayatı değerli mi kaygısına düşmeyecekler."
1,"havyanlarin-hayati-da-insanlarinki-kadar-degerlidir?partial=32873&level=1","Mevcut düzende her canlı hayatını sürdürmek için diğerleriyle çatışmak ve gerekirse kendi hayatı için başka hayatlara son vermek zorundadır."
2,"gelecegin-yeni-dini-dataizm-olacaktir?partial=33552&level=1","İnsan, içinden geldiği gibi kararlar vererek risk alıp zarar görmektense, kendi adına en doğru kararlar verecek olan veriyle beslenen makinelerin söylediklerini dinleyecektir. Dün Tanrının buyruklarına, bugün kendine hislerine tapan insan, yarın makinelerin komutlarına tapacaktır."
3,"gelecegin-yeni-dini-dataizm-olacaktir","Geleceğin yeni dini Dataizm olacaktır"
4,"depresyon-icedonuk-safsatalarin-sonucudur?partial=33520&level=1","Depresyondaki bir insan, kendi düşüncelerini çarpıtarak mantığa aykırı sonuçlara ulaşır. Aslında bu insan safsata yapmaktadır."
5,"depresyon-icedonuk-safsatalarin-sonucudur","Depresyon içedönük safsataların sonucudur."
6,"yalan-soyleme-olmadan-bilim-olmaz?partial=31796&level=1","Bu öngörüleri 'Yalan söylemek' olarak adlandırmak abartılmış bir söylemdir. Günlük kullanımda dikkat çekmek için kullanılmış olabilir."
7,"yalan-soyleme-olmadan-bilim-olmaz?partial=31792&level=1","Bilimin ilerlemesi adına yapılan çalışmalar çoğunlukla hayalgücü ürünüdür ve öngörüye dayanır; bu sebeple, kuramlar oluşturulurken çeşitli kabuller yapılır/çeşitli metodlar izlenir, bu kabullerin birinin veya birkaçının sonradan değişmesi, teoriyi çürütebilir veya güvenilirliğini azaltabilir."
8,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28546&level=1","Allah, bir insanı yarattığı anda onun sonunu bilmesi, balıkçının balığın çölde dayanamayacığını bilmesi gibidir.Balığın teste evet demesi, insanların cahilliği sonucu dünyadaki teste tâbi olmayı kabul etmeleri gibidir.Balıkçının balığı bu teste sokması mantıklı mıdır, tartışılır."
9,"allahin-insani-ilk-yarattigi-andan-itibaren-o-kisinin-ahiret-gununde-cennetcehenneme-gidecegini-bilir-olmasi-mantiksizdir?partial=28545&level=1","Bir balıkçı, denizden balığı alır ve onu bir teste tabi tutmak ister.Balığa, çölde 1 gün geçirmesi halinde sonsuz ödül, aksi halde sonsuz ceza olduğunu söyler.Balık cahil olduğu için evet der.Balıkçı, balığın bu testi geçemeyeceğini zaten bilmektedir.Balıkçıyı Allah, balığı insan olarak düşününüz."
