n1,n2,weight
57870,39714,-1
57871,39715,-1
57873,39716,-1
57874,39388,-1
39389,80606,1
39392,80606,1
57883,40110,-1
39394,58332,1
39396,58332,1
39397,58578,1
39400,58332,1
39399,58578,1
39401,58578,1
39403,58332,1
39405,58332,1
57899,39434,-1
57905,80606,-1
39430,80606,1
57936,39469,-1
57935,39495,-1
57962,39469,-1
57957,39468,-1
57961,39467,-1
57959,39497,-1
57958,39495,-1
57966,39495,-1
57965,39468,-1
57969,80606,-1
57970,80606,-1
57971,80606,-1
57972,80606,-1
39485,80606,1
57982,80606,-1
57983,39543,-1
57989,39969,-1
39496,80606,1
57996,57925,-1
39502,80606,1
58017,39488,-1
58015,39542,-1
58018,58819,-1
58018,58818,-1
58016,40149,-1
58016,58351,-1
58016,58350,-1
58023,40095,-1
58023,58330,-1
58029,58048,-1
58037,39488,-1
58042,39534,-1
39556,80643,1
39557,58049,1
39558,39447,1
39559,58024,1
39559,58023,1
58051,58024,-1
58051,58023,-1
39679,58040,1
58052,80663,-1
58053,39533,-1
39680,57864,1
39681,57864,1
39685,57864,1
39686,57864,1
58054,39410,-1
58055,39446,-1
58056,58013,-1
58057,58031,-1
58058,39400,-1
58058,57886,-1
58058,39398,-1
58058,39399,-1
39687,57896,1
39688,57896,1
58059,39510,-1
58060,39396,-1
58060,39395,-1
58060,39397,-1
58060,57885,-1
39689,58028,1
39689,39523,1
39690,57985,1
39691,57991,1
58061,80644,-1
39692,39439,1
39693,39490,1
58062,58019,-1
39694,57978,1
39695,57990,1
39695,57989,1
39696,57990,1
39696,57989,1
39697,57989,1
39697,57990,1
39698,57989,1
39698,57990,1
39699,57989,1
39699,57990,1
58063,39528,-1
39700,57979,1
58064,39410,-1
58065,39410,-1
58066,39410,-1
39701,58038,1
39701,58037,1
39702,57946,1
58067,57983,-1
58067,57984,-1
39703,58050,1
58068,39720,-1
39704,58050,1
39705,58037,1
39705,58038,1
58069,57868,-1
58070,58048,-1
39706,58023,1
39706,58024,1
58071,57980,-1
58073,58000,-1
58072,40041,-1
58074,39527,-1
58075,57868,-1
39707,58005,1
58076,80644,-1
39708,39544,1
58077,39422,-1
39709,80646,1
39710,80646,1
39711,39422,1
39712,39422,1
39713,39422,1
39714,39422,1
39715,39422,1
39716,39422,1
39717,39422,1
39718,39507,1
39719,80644,1
39720,80644,1
39721,57979,1
58078,80642,-1
58079,39454,-1
58080,39421,-1
58081,57878,-1
58082,57878,-1
58083,57878,-1
58084,40151,-1
58085,39458,-1
58086,57863,-1
39722,80643,1
58087,57956,-1
39723,57866,1
39724,57971,1
39725,58021,1
39726,58021,1
39727,80642,1
58088,39475,-1
58089,39475,-1
58090,57882,-1
58091,57916,-1
39728,58023,1
39728,58024,1
58092,57878,-1
39729,39421,1
39730,39392,1
39731,39392,1
39732,39392,1
39733,57888,1
39733,39405,1
39733,39404,1
39734,80642,1
58093,39399,-1
58093,57886,-1
58093,39400,-1
58093,39398,-1
58094,57993,-1
39735,39397,1
39735,57885,1
39735,39395,1
39735,39396,1
39736,39402,1
39736,57887,1
39736,39401,1
39736,39403,1
39737,57885,1
39737,39395,1
39737,39396,1
39737,39397,1
39738,39397,1
39738,39396,1
39738,57885,1
39738,39395,1
39739,39397,1
39739,39395,1
39739,39396,1
39739,57885,1
39740,39403,1
39740,57887,1
39740,39402,1
39740,39401,1
39741,39400,1
39741,57886,1
39741,39398,1
39741,39399,1
39742,39399,1
39742,39398,1
39742,57886,1
39742,39400,1
39743,39396,1
39743,57885,1
39743,39395,1
39743,39397,1
39744,39393,1
39744,39394,1
39744,57883,1
39744,57884,1
39745,39402,1
39745,39401,1
39745,39403,1
39745,57887,1
39746,39394,1
39746,57883,1
39746,39393,1
39746,57884,1
39747,57887,1
39747,39403,1
39747,39401,1
39747,39402,1
39748,57886,1
39748,39400,1
39748,39398,1
39748,39399,1
39749,39401,1
39749,39402,1
39749,39403,1
39749,57887,1
39750,39402,1
39750,39401,1
39750,57887,1
39750,39403,1
39751,39406,1
39751,57889,1
58095,39398,-1
58095,57886,-1
58095,39400,-1
58095,39399,-1
39752,39404,1
39752,39405,1
39752,57888,1
58096,58032,-1
58097,57882,-1
58098,80642,-1
58099,39543,-1
39753,39490,1
58100,39441,-1
39754,57982,1
58101,39412,-1
58102,39409,-1
58103,39412,-1
58104,80646,-1
39755,80646,1
58106,57991,-1
58105,40136,-1
58107,57992,-1
39756,57894,1
39757,58040,1
58108,57907,-1
58108,39432,-1
