n,url,label,description
80606,80606,"( Sommes-nous en démocratie ?) -> ( L'Europe occidentale est-elle en déclin ?)",""
80607,80607,"( Accueillir les migrants est un atout culturel et social) -> ( Faut-il accueillir davantage de migrants ?)",""
80642,80642,"( Accueillir les migrants est un devoir humaniste) -> ( Faut-il accueillir davantage de migrants ?)",""
80643,80643,"( Accueillir les migrants est un plus pour l'économie des pays européens) -> ( Faut-il accueillir davantage de migrants ?)",""
57862,57862,"( Arrêter de manger des animaux détruirait une partie des activités paysannes) -> ¬ ( Faut-il arrêter de manger des animaux ?)",""
57863,57863,"( Arrêter l'élevage de certains animaux les ferait disparaitre) -> ¬ ( Faut-il arrêter de manger des animaux ?)",""
57864,57864,"( C’est à l’Etat de gérer les aéroports) -> ¬ ( Faut-il privatiser ADP ?)",""
57865,57865,"( Certains footballeurs professionnels reversent une partie de leur salaire à des associations caritatives) -> ¬ ( Les footballeurs professionnels sont-ils trop payés ?)",""
57866,57866,"( Chaque religion affirme être l'unique Vérité) -> ¬ ( Les religions se rejoignent-elles ?)",""
80644,80644,"( Créer de la valeur économique) -> ( Faut-il incinérer les déchets ménagers à La Réunion ?)",""
57867,57867,"( Des grosses entreprises telles que Microsoft ou Google s'intéressent à l'open-source) -> ¬ ( Le logiciel libre est-il en déclin ?)",""
57868,57868,"( Des risques de pollution) -> ¬ ( Faut-il incinérer les déchets ménagers à La Réunion ?)",""
80645,80645,"( Dieu a créé une morale indépendante des hommes) -> ( Dieu existe-t-il ? (nouvelle version))",""
80646,80646,"( Dieu est la cause première de l'univers) -> ( Dieu existe-t-il ? (nouvelle version))",""
57869,57869,"( Dieu est une invention) -> ¬ ( Dieu existe-t-il ? (nouvelle version))",""
57872,57872,"( Dieu n'est que le nom de notre ignorance) -> ¬ ( Dieu existe-t-il ? (nouvelle version))",""
57870,57870,"( Dieu n'est que le nom de notre ignorance) -> ¬ ( Dieu explique l'existence de la conscience)",""
57871,57871,"( Dieu n'est que le nom de notre ignorance) -> ¬ ( Dieu explique l'existence des lois de la nature)",""
57873,57873,"( Dieu n'est que le nom de notre ignorance) -> ¬ ( Dieu explique la création,l'adaptation et la complexité des espèces)",""
80647,80647,"( Facebook a un effet délétère sur la vie sociale et le psychisme) -> ( Faut-il boycotter Facebook ?)",""
57874,57874,"( Facebook est le réseau social utilisé par la majorité des gens) -> ¬ ( Il existe des alternatives libres à Facebook)",""
57875,57875,"( Facebook est le réseau social utilisé par la majorité des gens) -> ¬ ( Faut-il boycotter Facebook ?)",""
80648,80648,"( Facebook est une entreprise toute-puissante) -> ( Faut-il boycotter Facebook ?)",""
80660,80660,"( Facebook est un instrument de propagande) -> ( Faut-il boycotter Facebook ?)",""
57876,57876,"( Facebook est un outil d'expression) -> ¬ ( Faut-il boycotter Facebook ?)",""
80661,80661,"( Facebook exploite les faiblesses de ses utilisateurs) -> ( Faut-il boycotter Facebook ?)",""
80662,80662,"( Facebook n'est pas fiable informatiquement) -> ( Faut-il boycotter Facebook ?)",""
57877,57877,"( Facebook permet de garder des liens avec notre entourage) -> ¬ ( Faut-il boycotter Facebook ?)",""
80663,80663,"( Facebook s'approprie les données personnelles de ses utilisateurs sans les rémunérer) -> ( Faut-il boycotter Facebook ?)",""
57878,57878,"( Financer un revenu de base est irréaliste) -> ¬ ( Faut-il instaurer un revenu de base ?)",""
80664,80664,"( Il est difficile de contribuer aux logiciels libres) -> ( Le logiciel libre est-il en déclin ?)",""
57879,57879,"( Il existe de meilleurs alternatives aux vaccins) -> ¬ ( Faut-il se faire vacciner ?)",""
80665,80665,"( Il existe de meilleurs systèmes d'évaluation que les notes) -> ( Faut-il supprimer les notes à l'école ?)",""
39388,39388,"( Il existe des alternatives libres à Facebook) -> ( Faut-il boycotter Facebook ?)",""
39389,39389,"( Il existe des contre-pouvoirs en France) -> ( Sommes-nous en démocratie ?)",""
39390,39390,"( Il existe des interventions divines) -> ( Dieu existe-t-il ? (nouvelle version))",""
39391,39391,"( Il existe un consensus scientifique sur le lien entre le réchauffement climatique et l'activité humaine) -> ( Le réchauffement climatique est-il dû à l'activité humaine ?)",""
39392,39392,"( Il existe un pluralisme politique,syndical et médiatique en France) -> ( Sommes-nous en démocratie ?)",""
57880,57880,"( Il faut construire des ateliers de maintenance du tramway dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
57881,57881,"( Il faut construire des commerce et des services de proximité dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
57882,57882,"( Il faut construire des logements dans les Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
57883,57883,"( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ¬ ( Limiter la liberté d'expression conduit à étouffer la contestation)",""
57884,57884,"( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39394,39394,"( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ( Limiter la liberté d'expression est nécessaire)",""
39393,39393,"( Il faut limiter la liberté d'expression pour éviter les troubles à l'ordre public) -> ( La liberté d'expression doit-elle être limitée ?)",""
57885,57885,"( Il faut limiter la liberté d'expression pour lutter contre les contenus choquants) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39395,39395,"( Il faut limiter la liberté d'expression pour lutter contre les contenus choquants) -> ( La liberté d'expression doit-elle être limitée ?)",""
39396,39396,"( Il faut limiter la liberté d'expression pour lutter contre les contenus choquants) -> ( Limiter la liberté d'expression est nécessaire)",""
39397,39397,"( Il faut limiter la liberté d'expression pour lutter contre les contenus choquants) -> ( La liberté d'expression entraine des abus)",""
57886,57886,"( Il faut limiter la liberté d'expression pour lutter contre les idées dangereuses) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39400,39400,"( Il faut limiter la liberté d'expression pour lutter contre les idées dangereuses) -> ( Limiter la liberté d'expression est nécessaire)",""
39399,39399,"( Il faut limiter la liberté d'expression pour lutter contre les idées dangereuses) -> ( La liberté d'expression entraine des abus)",""
39398,39398,"( Il faut limiter la liberté d'expression pour lutter contre les idées dangereuses) -> ( La liberté d'expression doit-elle être limitée ?)",""
57887,57887,"( Il faut limiter la liberté d'expression pour ne pas faire de tort aux personnes) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39401,39401,"( Il faut limiter la liberté d'expression pour ne pas faire de tort aux personnes) -> ( La liberté d'expression entraine des abus)",""
39402,39402,"( Il faut limiter la liberté d'expression pour ne pas faire de tort aux personnes) -> ( La liberté d'expression doit-elle être limitée ?)",""
39403,39403,"( Il faut limiter la liberté d'expression pour ne pas faire de tort aux personnes) -> ( Limiter la liberté d'expression est nécessaire)",""
57888,57888,"( Il faut limiter la liberté d'expression pour protéger l'État et les entreprises) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39405,39405,"( Il faut limiter la liberté d'expression pour protéger l'État et les entreprises) -> ( Limiter la liberté d'expression est nécessaire)",""
39404,39404,"( Il faut limiter la liberté d'expression pour protéger l'État et les entreprises) -> ( La liberté d'expression doit-elle être limitée ?)",""
57889,57889,"( Il faut limiter la liberté d'expression pour respecter la propriété intellectuelle) -> ¬ ( La liberté d'expression doit-elle être totale ?)",""
39406,39406,"( Il faut limiter la liberté d'expression pour respecter la propriété intellectuelle) -> ( La liberté d'expression doit-elle être limitée ?)",""
39407,39407,"( Il faut préserver les Murs à pêches de Montreuil pour accueillir des associations) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39408,39408,"( Il faut préserver les Murs à pêches de Montreuil pour préserver un espace vert à côté de Paris) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39409,39409,"( Il faut préserver les Murs à pêches de Montreuil pour promouvoir la biodiversité) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39410,39410,"( Il faut préserver les Murs à pêches de Montreuil pour relancer une agriculture urbaine de proximité) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39411,39411,"( Il faut préserver les Murs à pêches de Montreuil pour sauvegarder un patrimoine) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39412,39412,"( Il faut préserver les Murs à pêches de Montreuil pour sauvegarder un savoir-faire) -> ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
39413,39413,"( Il faut privatiser ADP car l'État a besoin d’argent) -> ( Faut-il privatiser ADP ?)",""
57890,57890,"( Il faut protéger l'individu contre les dangers du cannabis) -> ¬ ( Faut-il légaliser le cannabis ?)",""
57891,57891,"( Il faut reconvertir l'ancienne usine EIF des Murs à pêches de Montreuil) -> ¬ ( Faut-il préserver les Murs à pêches de Montreuil ?)",""
